1	Nachbar	Nachbar	N	NN	_|_|Sg	0	root	230	230
3	Deine	deine	A	PPOSAT	Fem|_|Sg	4	det	588	588
4	Wonnetrunkenheit	Wonnetrunkenheit	N	NN	Fem|_|Sg	0	root	590	590
5	?	?	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|_	0	root	590	590
2	:	\:	$	$.	_	0	root	_	_
3	Deine	deine	A	PPOSAT	Fem|_|Pl	4	det	588	588
4	Entzückungen	Entzückung	N	NN	Fem|_|Pl	0	root	_	_
5	?	?	$	$.	_	0	root	_	_

1	Beide	beide	P	PIS	_|_|Pl	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Der	die	A	ART	Def|Masc|Nom|Sg	4	det	367	367
4	Teufel	Teufel	N	NN	Masc|Nom|Sg	5	subj	367	367
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	s	s	P	PPER	_	8	obja	_	_
8	geholt	holen	V	VVPP	_	5	aux	_	_
9	!	!	$	$.	_	0	root	_	_

1	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	vom	von	P	APPRART	Dat	2	pp	_	_
4	Heiraten	Heirat	N	NN	_|Dat|_	3	pn	591	591
5	!	!	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	So	so	A	ADV	_	4	adv	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	die	die	A	ART	Def|Fem|Nom|Sg	6	det	283	283
6	Jagd	Jagd	N	NN	Fem|Nom|Sg	4	subj	283	283
7	noch	noch	A	ADV	_	9	adv	_	_
8	nie	nie	A	ADV	_	9	adv	_	_
9	gestört	stören	V	VVPP	_	10	aux	_	_
10	worden	werden	V	VAPP	_	4	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wenn	wenn	K	KOUS	_	6	konj	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	6	subj	591	591
4	doch	doch	A	ADV	_	5	adv	_	_
5	geruhen	geruhen	V	VVINF	_	6	aux	_	_
6	wollten	wollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	bemerken	bemerken	V	VVINF	_	5	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	21	konj	_	_
12	dieses	diese	A	PDAT	Neut|Nom|Sg	14	det	592	592
13	freie	frei	A	ADJA	Pos|Neut|Nom|Sg|Wk|	14	attr	592	592
14	Feld	Feld	N	NN	Neut|Nom|Sg	21	subj	592	592
15	für	für	P	APPR	Acc	20	pp	_	_
16	Ihre	ihre	A	PPOSAT	_|Acc|_	17	det	591	591
17	Schmerzen	Schmerz	N	NN	_|Acc|_	15	pn	_	_
18	offenbar	offenbar	A	ADJD	Pos|	20	adv	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	enge	enge	V	VVINF	_	21	aux	_	_
21	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	objc	_	_
22	,	,	$	$,	_	0	root	_	_
23	und	und	K	KON	_	0	root	_	_
24	irgendeinen	irgendeinen	A	ADJA	_|Masc|_|Sg|_	25	attr	_	_
25	Berg	Berg	N	NN	Masc|_|Sg	26	obja	_	_
26	besteigen	besteigen	V	VVINF	_	23	cj	_	_
27	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Schlingel	Schlingel	N	NN	Masc|_|_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	Hinzen	Hinzen	N	NE	_|Nom|Sg	1	subj	593	593
3	eine	eine	A	ART	Indef|Fem|_|Sg	4	det	_	_
4	Ohrfeige	Ohrfeige	N	NN	Fem|_|Sg	1	obja	_	_
5	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|_	0	root	593	593
2	:	\:	$	$.	_	0	root	_	_
3	Flegel	Flegel	N	NN	Masc|_|_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	ihm	er	P	PPER	3|Sg|_|Dat	1	objd	1	1
3	von	von	P	APPR	_	1	pp	_	_
4	der	die	A	ART	Def|Fem|_|Sg	6	det	550	550
5	andern	andern	A	ADJA	_|Fem|_|Sg|_	6	attr	550	550
6	Seite	Seite	N	NN	Fem|_|Sg	3	pn	550	550
7	eine	eine	P	PIS	_|Nom|Sg	1	subj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_|Nom|Sg	2	subj	84	84
2	knurrt	knurren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|_	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	594	594
4	dächte	denken	V	VVFIN	1|Sg|Past|Subj	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	wir	wir	P	PPER	1|Pl|_|Nom	7	subj	_	_
7	ließen	lassen	V	VVFIN	1|Pl|Past|_	4	s	_	_
8	uns	wir	P	PRF	1|Pl|_	9	obja	_	_
9	scheiden	scheiden	V	VVINF	_	7	obji	_	_
10	.	.	$	$.	_	0	root	_	_

