1	Euch	ihr	P	PPER	2|Pl|_|_	2	obja	731	731
31	entsetzliche	entsetzlich	A	ADJA	Pos|Fem|_|Pl|St|	32	attr	_	_
32	Taten	Tat	N	NN	Fem|_|Pl	0	root	_	_
33	der	die	A	ART	Def|Fem|Gen|Sg	34	det	458	458
34	Hölle	Hölle	N	NN	Fem|Gen|Sg	32	gmod	458	458
35	!	!	$	$.	_	0	root	_	_

1	Olivier	Olivier	N	NE	_|Nom|Sg	2	subj	387	387
2	schwieg	schweigen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	aber	aber	K	KON	_	2	kon	_	_
5	nun	nun	A	ADV	_	6	adv	_	_
6	stürzte	stürzen	V	VVFIN	3|Sg|Past|_	4	cj	_	_
7	plötzlich	plötzlich	A	ADJD	Pos|	6	adv	_	_
8	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	750	750
9	Tränenstrom	Tränenstrom	N	NN	Masc|Nom|Sg	6	subj	750	750
10	aus	aus	P	APPR	Dat	6	pp	_	_
11	seinen	seine	A	PPOSAT	Neut|Dat|Pl	12	det	750	750
12	Augen	Auge	N	NN	Neut|Dat|Pl	10	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	750	750
15	warf	werfen	V	VVFIN	3|Sg|Past|Ind	6	kon	_	_
16	sich	sie	P	PRF	3|_|_	15	obja	_	_
17	der	die	A	ART	Def|_|_|_	18	det	0	0
18	Scuderi	Scuderi	N	NN	_|_|_	0	root	0	0
19	zu	zu	P	APPR	Dat	18	pp	0	0
20	Füßen	Fuß	N	NN	Masc|Dat|Pl	19	pn	0	0
21	und	und	K	KON	_	0	root	497)	497)
22	flehte	flehen	V	VVFIN	_|Sg|Past|_	21	cj	497)	497)
23	:	\:	$	$.	_	0	root	497)	497)
24	Ihr	ihr	P	PPER	2|Pl|_|Nom	25	subj	751	751
25	seid	sein	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
26	von	von	P	APPR	_	29	pp	_	_
27	meiner	meine	A	PPOSAT	Fem|_|Sg	28	det	740	740
28	Unschuld	Unschuld	N	NN	Fem|_|Sg	26	pn	_	_
29	überzeugt	überzeugen	V	VVPP	_	25	aux	_	_
30	-	-	$	$(	_	0	root	_	_
31	gewiß	gewiß	A	ADJD	Pos|	32	adv	_	_
32	Ihr	ihr	P	PPER	2|Pl|_|Nom	33	subj	751	751
33	seid	sein	V	VAFIN	2|Pl|Pres|Ind	25	kon	_	_
34	es	es	P	PPER	3|Sg|Neut|Nom	33	pred	_	_
35	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
3	Erbarmen	Erbarmen	N	NN	_|_|_	2	obja	_	_
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	pn	740	740
6	,	,	$	$,	_	0	root	_	_
7	sagt	sagen	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	P	PWAV	_	10	adv	_	_
10	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	7	objc	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
12	um	um	P	APPR	_	10	objp	_	_
13	Madelon	Madelon	N	NE	_|_|_	12	pn	380	380
14	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	0	0
3	Scuderi	Scuderi	N	NN	Fem|Nom|Sg	4	subj	0	0
4	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	die	die	A	ART	Def|_|_|_	6	det	13	13
6	Martiniere	Martiniere	N	NN	_|_|_	4	obja	13	13
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	4	kon	_	_
9	nach	nach	P	APPR	Dat	12	pp	_	_
10	wenigen	wenige	A	PIDAT	_|Dat|_	11	det	_	_
11	Augenblicken	Augenblick	N	NN	_|Dat|_	9	pn	_	_
12	flog	fliegen	V	VVFIN	3|Sg|Past|Ind	8	cj	_	_
13	Madelon	Madelon	N	NE	_|Nom|Sg	12	subj	380	380
14	an	an	P	APPR	_	12	pp	_	_
15	Oliviers	Oliviers	N	NE	_|_|_	14	pn	_	_
16	Hals	Hals	N	NE	_|_|_	15	app	_	_
17	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	alles	alle	P	PIS	Neut|Nom|Sg	2	subj	_	_
4	gut	gut	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	da	da	K	KOUS	_	9	konj	_	_
7	du	du	P	PPER	2|Sg|_|Nom	9	subj	752	752
8	hier	hier	A	ADV	_	9	adv	_	_
9	bist	sein	V	VAFIN	2|Sg|Pres|Ind	2	neb	_	_
10	-	-	$	$(	_	0	root	_	_
11	ich	ich	P	PPER	_|Nom|Sg	0	root	380	380
12	wußt	wußt	F	FM	_	11	app	_	_
13	'	'	$	$(	_	0	root	_	_
14	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
15	ja	ja	A	ADV	_	14	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	daß	daß	K	KOUS	_	23	konj	_	_
18	die	die	A	ART	Def|Fem|Nom|Sg	20	det	_	_
19	edelmütigste	edelmütig	A	ADJA	Sup|Fem|Nom|Sg|_|	20	attr	_	_
20	Dame	Dame	N	NN	Fem|Nom|Sg	23	subj	_	_
21	dich	du	P	PPER	2|Sg|_|Acc	22	obja	752	752
22	retten	retten	V	VVINF	_	23	aux	_	_
23	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
24	!	!	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	Madelon	Madelon	N	NE	_|Nom|Sg	2	subj	380	380
4	ein	eine	A	ART	Indef|Neut|_|Sg	5	det	_	_
5	Mal	Mal	N	NN	Neut|_|Sg	6	grad	_	_
6	über	über	P	APPR	Acc	2	pp	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	_	_
8	andere	andere	A	ADJA	Neut|_|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	2	kon	_	_
11	Olivier	Olivier	N	NE	_|Nom|Sg	12	subj	387	387
12	vergaß	vergessen	V	VVFIN	3|Sg|Past|Ind	10	cj	_	_
13	sein	seine	A	PPOSAT	Neut|_|Sg	14	det	387	387
14	Schicksal	Schicksal	N	NN	Neut|_|Sg	12	obja	753	753
15	,	,	$	$,	_	0	root	_	_
16	alles	alle	P	PIS	_|_|Sg	0	root	_	_
17	was	was	P	PRELS	Neut|Nom|Sg	19	subj	753	753
18	ihm	er	P	PPER	3|Sg|_|Dat	19	objd	387	387
19	drohte	drohen	V	VVFIN	3|Sg|Past|_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	er	er	P	PPER	3|Sg|Masc|Nom	22	subj	387	387
22	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
23	frei	frei	A	ADJD	Pos|	22	pred	_	_
24	und	und	K	KON	_	23	kon	_	_
25	selig	selig	A	ADJD	Pos|	24	cj	_	_
26	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	Acc	4	pp	_	_
2	das	die	A	ART	Def|Neut|_|Sg	3	det	_	_
3	rührendste	rührend	A	ADJA	Neut|_|Sg	1	pn	_	_
4	klagten	klagen	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	beide	beide	P	PIS	_|Nom|Pl	4	subj	_	_
6	sich	sie	P	PRF	3|_|_	4	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PWS	Neut|_|Sg	0	root	_	_
9	sie	sie	P	PPER	3|_|_|_	11	obja	753	753
10	umeinander	umeinander	A	ADJD	_	11	adv	_	_
11	gelitten	leiden	V	VVPP	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	umarmten	umarmen	V	VVFIN	_|Pl|Past|_	12	cj	_	_
14	sich	sie	P	PRF	3|_|_	13	obja	_	_
15	dann	dann	A	ADV	_	13	adv	_	_
16	aufs	auf	P	APPRART	Acc	13	pp	_	_
17	neue	neu	A	ADJA	Pos|_|Acc|_|_|	16	pn	_	_
18	und	und	K	KON	_	13	kon	_	_
19	meinten	meinen	V	VVFIN	_|Pl|Past|_	18	cj	_	_
20	vor	vor	P	APPR	_	19	pp	_	_
21	Entzücken	Entzücken	N	NN	Neut|_|Sg	20	pn	577	577
22	,	,	$	$,	_	0	root	_	_
23	daß	daß	K	KOUS	_	0	root	_	_
24	sie	sie	P	PPER	3|_|_|Nom	26	subj	753	753
25	sich	sie	P	PRF	3|_|_	26	obja	_	_
26	wiedergefunden	wiederfinden	V	VVPP	_	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
2	die	die	A	ART	Def|Fem|Nom|Sg	3	det	0	0
3	Scuderi	Scuderi	N	NN	Fem|Nom|Sg	1	subj	0	0
4	nicht	nicht	P	PTKNEG	_	9	adv	_	_
5	von	von	P	APPR	_	9	pp	_	_
6	Oliviers	Oliviers	N	NE	_|Gen|_	7	gmod	409	409
7	Unschuld	Unschuld	N	NN	Fem|_|Sg	5	pn	_	_
8	schon	schon	A	ADV	_	9	adv	_	_
9	überzeugt	überzeugen	V	VVPP	_	10	aux	_	_
10	gewesen	sein	V	VAPP	_	1	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	_	_
13	Glaube	Glaube	N	NN	Masc|Nom|Sg	15	subj	_	_
14	daran	daran	P	PROAV	_	13	pp	_	_
15	müßte	müssen	V	VMFIN	3|Sg|Past|Subj	1	kon	_	_
16	ihr	ihr	P	PPER	3|Sg|Fem|Dat	18	objd	0	0
17	jetzt	jetzt	A	ADV	_	18	adv	_	_
18	gekommen	kommen	V	VVPP	_	19	aux	_	_
19	sein	sein	V	VAINF	_	15	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	da	da	K	KOUS	_	0	root	_	_
22	sie	sie	P	PPER	3|_|_|_	0	root	0	0
23	die	die	A	ART	Def|_|_|_	0	root	_	_
24	beiden	beide	A	PIDAT	_|_|Pl	0	root	_	_
25	betrachtete	betrachtet	A	ADJA	Pos|_|_|_|_|	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	die	die	P	PRELS	_|Nom|Pl	36	subj	_	_
28	in	in	P	APPR	Dat	36	pp	_	_
29	der	die	A	ART	Def|Fem|Dat|Sg	30	det	_	_
30	Seligkeit	Seligkeit	N	NN	Fem|Dat|Sg	28	pn	_	_
31	des	die	A	ART	Def|_|Gen|Sg	33	det	_	_
32	innigsten	innig	A	ADJA	Sup|_|Gen|Sg|_|	33	attr	_	_
33	Liebesbündnisses	Liebesbündnisses	N	NN	_|Gen|Sg	30	gmod	_	_
34	die	die	A	ART	Def|Fem|_|Sg	35	det	109	109
35	Welt	Welt	N	NN	Fem|_|Sg	36	obja	109	109
36	vergaßen	vergessen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
37	und	und	K	KON	_	0	root	_	_
38	ihr	ihre	A	PPOSAT	Neut|_|Sg	39	det	109	109
39	Elend	Elend	N	NN	Neut|_|Sg	37	cj	_	_
40	und	und	K	KON	_	39	kon	_	_
41	ihr	ihre	A	PPOSAT	Neut|_|Sg	43	det	109	109
42	namenloses	namenlos	A	ADJA	Pos|Neut|_|Sg|St|	43	attr	_	_
43	Leiden	Leiden	N	NN	Neut|_|Sg	40	cj	_	_
44	.	.	$	$.	_	0	root	_	_

1	Nein	nein	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	109	109
5	,	,	$	$,	_	0	root	_	_
6	solch	solch	A	PIDAT	Fem|Dat|Sg	8	det	_	_
7	seliger	selig	A	ADJA	Pos|Fem|Dat|Sg|St|	8	attr	_	_
8	Vergessenheit	Vergessenheit	N	NN	Fem|Dat|Sg	9	objd	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	_
10	nur	nur	A	ADV	_	9	adv	_	_
11	ein	eine	A	ART	Indef|Neut|Nom|Sg	13	det	_	_
12	reines	rein	A	ADJA	Pos|Neut|Nom|Sg|St|	13	attr	_	_
13	Herz	Herz	N	NN	Neut|Nom|Sg	9	subj	_	_
14	fähig	fähig	A	ADJD	Pos|	9	pred	_	_
15	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	3	det	_	_
2	hellen	hell	A	ADJA	Pos|Masc|Nom|Pl|Wk|	3	attr	_	_
3	Strahlen	Strahl	N	NN	Masc|Nom|Pl	6	subj	_	_
4	des	die	A	ART	Def|Masc|Gen|Sg	5	det	392	392
5	Morgens	Morgen	N	NN	Masc|Gen|Sg	3	gmod	392	392
6	brachen	brechen	V	VVFIN	3|Pl|Past|_	0	root	_	_
7	durch	durch	P	APPR	Acc	6	pp	_	_
8	das	die	A	ART	Def|Neut|Acc|Sg	9	det	754	754
9	Fenster	Fenster	N	NN	Neut|Acc|Sg	7	pn	754	754
10	.	.	$	$.	_	0	root	_	_

1	Desgrais	Desgrais	N	NE	_|Nom|Sg	2	subj	57	57
2	klopfte	klopfen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	leise	leise	A	ADJD	Pos|	2	adv	_	_
4	an	an	P	APPR	Acc	2	objp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	755	755
6	Türe	Türe	N	NN	Fem|Acc|Sg	4	pn	755	755
7	des	die	A	ART	Def|Neut|Gen|Sg	8	det	38	38
8	Gemachs	Gemach	N	NN	Neut|Gen|Sg	6	gmod	38	38
9	und	und	K	KON	_	2	kon	_	_
10	erinnerte	erinnern	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	15	konj	_	_
13	es	es	P	PPER	3|Sg|Neut|_	19	expl	_	_
14	Zeit	Zeit	N	NN	Fem|Nom|Sg	15	pred	756	756
15	sei	sein	V	VAFIN	_|Sg|Pres|Subj	10	objc	_	_
16	,	,	$	$,	_	0	root	_	_
17	Olivier	Olivier	N	NE	_|Dat|_	19	objd	430	430
18	Brußon	Brußon	N	NE	_|Dat|_	17	app	430	430
19	fortzuschaffen	fortschaffen	V	VVIZU	_	15	subjc	_	_
20	,	,	$	$,	_	0	root	_	_
21	da	da	K	KOUS	_	0	root	_	_
22	ohne	ohne	P	APPR	Acc	25	pp	_	_
23	Aufsehen	Aufsehen	N	NN	Neut|Acc|Sg	22	pn	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	erregen	erregen	V	VVINF	_	0	root	_	_
26	das	die	P	PDS	Neut|Nom|Sg	30	subj	_	_
27	später	spät	A	ADJD	_|	29	adv	_	_
28	nicht	nicht	P	PTKNEG	_	29	adv	_	_
29	geschehen	geschehen	V	VVINF	_	30	aux	_	_
30	könne	können	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
31	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	_	_
2	Liebenden	Liebende	N	NN	_|Nom|Pl	3	subj	_	_
3	mußten	müssen	V	VMFIN	3|Pl|Past|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	5	obja	_	_
5	trennen	trennen	V	VVINF	_	3	aux	_	_
6	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Pl	3	det	757	757
2	dunklen	dunkel	A	ADJA	Pos|Fem|_|Pl|Wk|	3	attr	757	757
3	Ahnungen	Ahnung	N	NN	Fem|_|Pl	0	root	757	757
4	,	,	$	$,	_	0	root	_	_
5	von	von	P	APPR	Dat	0	root	_	_
6	denen	die	P	PRELS	_|Dat|Pl	5	pn	757	757
7	der	die	A	ART	Def|_|_|_	0	root	_	_
8	Scuderi	Scuderi	N	NN	_|Nom|Pl	10	subj	0	0
9	Gemüt	Gemüt	N	NN	Neut|_|Sg	10	obja	758	758
10	befangen	befangen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
11	seit	seit	P	APPR	Dat	10	pp	_	_
12	Brußons	Brußons	N	NE	_|Gen|_	14	gmod	521	521
13	erstem	erst	A	ADJA	_|Masc|Dat|Sg|St|	14	attr	_	_
14	Eintritt	Eintritt	N	NN	Masc|Dat|Sg	11	pn	_	_
15	in	in	P	APPR	Acc	14	pp	_	_
16	ihr	ihre	A	PPOSAT	Neut|Acc|Sg	17	det	0	0
17	Haus	Haus	N	NN	Neut|Acc|Sg	15	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	hatten	haben	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
20	sich	sie	P	PRF	3|_|_	24	obja	_	_
21	nun	nun	A	ADV	_	24	adv	_	_
22	zum	zu	P	APPRART	Dat	24	pp	_	_
23	Leben	Leben	N	NN	Neut|Dat|_	22	pn	759	759
24	gestaltet	gestalten	V	VVPP	_	19	aux	_	_
25	auf	auf	P	APPR	Acc	24	pp	_	_
26	furchtbare	furchtbar	A	ADJA	Pos|_|Acc|_|_|	27	attr	_	_
27	Weise	Weise	N	NN	_|Acc|_	25	pn	_	_
28	.	.	$	$.	_	0	root	_	_

1	Den	die	A	ART	Def|Masc|Acc|Sg	2	det	760	760
2	Sohn	Sohn	N	NN	Masc|Acc|Sg	0	root	760	760
3	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	5	det	0	0
4	geliebten	geliebt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	5	attr	544	544
5	Anne	Anne	N	NE	Fem|Dat|Sg	6	objd	544	544
6	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	0	0
8	schuldlos	schuldlos	A	ADJD	Pos|	9	adv	_	_
9	verstrickt	verstricken	V	VVFIN	_|_|Pres|Ind	6	s	_	_
10	auf	auf	P	APPR	Acc	9	pp	_	_
11	eine	eine	A	ART	Indef|Fem|Acc|Sg	12	det	764	764
12	Art	Art	N	NN	Fem|Acc|Sg	10	pn	764	764
13	,	,	$	$,	_	0	root	_	_
14	daß	daß	K	KOUS	_	0	root	_	_
15	ihn	er	P	PPER	3|Sg|Masc|Acc	20	obja	760	760
16	vom	von	P	APPRART	Dat	20	pp	_	_
17	schmachvollen	schmachvoll	A	ADJA	Pos|Masc|Dat|Sg|Wk|	18	attr	_	_
18	Tod	Tod	N	NN	Masc|Dat|Sg	16	pn	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	retten	retten	V	VVINF	_	0	root	_	_
21	kaum	kaum	A	ADV	_	22	adv	_	_
22	denkbar	denkbar	A	ADJD	Pos|	23	pred	_	_
23	schien	scheinen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	0	0
2	ehrte	ehren	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	des	die	A	ART	Def|Masc|Gen|Sg	4	det	263	263
4	Jünglings	Jüngling	N	NN	Masc|Gen|Sg	0	root	263	263
5	Heldensinn	Heldensinn	N	NN	Masc|_|Sg	0	root	761	761
6	,	,	$	$,	_	0	root	_	_
7	der	die	P	PRELS	_|_|Sg	0	root	761	761
8	lieber	lieb	A	ADJD	Comp|	10	adv	_	_
9	schuldbeladen	schuldbeladen	A	ADJD	Pos|	10	adv	_	_
10	sterben	sterben	V	VVFIN	_|Pl|Pres|_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	als	als	K	KOKOM	_	15	kom	_	_
13	ein	eine	A	ART	Indef|Neut|_|Sg	14	det	762	762
14	Geheimnis	Geheimnis	N	NN	Neut|_|Sg	12	cj	762	762
15	verraten	verraten	V	VVINF	_	16	aux	762	762
16	wollte	wollen	V	VMFIN	_|Sg|Past|_	0	root	762	762
17	,	,	$	$,	_	0	root	762	762
18	das	die	P	PRELS	Neut|Nom|Sg	24	subj	762	762
19	seiner	seine	A	PPOSAT	Fem|Dat|Sg	20	det	380	380
20	Madelon	Madelon	N	NN	Fem|Dat|Sg	23	objd	380	380
21	den	die	A	ART	Def|Masc|Acc|Sg	22	det	80	80
22	Tod	Tod	N	NN	Masc|Acc|Sg	23	obja	80	80
23	bringen	bringen	V	VVINF	_	24	aux	_	_
24	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	14	rel	_	_
25	.	.	$	$.	_	0	root	_	_

1	Im	in	P	APPRART	Dat	6	pp	_	_
2	ganzen	ganz	A	ADJA	Pos|Neut|Dat|Sg|Wk|	3	attr	_	_
3	Reiche	Reich	N	NN	Neut|Dat|Sg	1	pn	_	_
4	der	die	A	ART	Def|Fem|Gen|Sg	5	det	763	763
5	Möglichkeit	Möglichkeit	N	NN	Fem|Gen|Sg	3	gmod	763	763
6	fand	finden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	0	0
8	kein	keine	A	PIAT	Neut|_|Sg	9	det	_	_
9	Mittel	Mittel	N	NN	Neut|_|Sg	6	obja	_	_
10	,	,	$	$,	_	0	root	_	_
11	den	die	A	ART	Def|_|_|_	12	det	_	_
12	Ärmsten	Ärmste	N	NN	_|_|_	17	obja	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	_	_
14	grausamen	grausam	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	_	_
15	Gerichtshofe	Gerichtshof	N	NN	Masc|Dat|Sg	17	objd	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	entreißen	entreißen	V	VVINF	_	6	obji	_	_
18	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	3	koord	_	_
2	doch	doch	A	ADV	_	3	adv	_	_
3	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	fest	fest	A	ADJD	Pos|	3	adv	_	_
6	in	in	P	APPR	Dat	3	pp	_	_
7	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	8	det	764	764
8	Seele	Seele	N	NN	Fem|Dat|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	15	konj	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	764	764
12	kein	keine	A	PIAT	Neut|_|Sg	13	det	_	_
13	Opfer	Opfer	N	NN	Neut|_|Sg	14	obja	_	_
14	scheuen	scheuen	V	VVINF	_	15	aux	_	_
15	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	3	objc	_	_
16	,	,	$	$,	_	0	root	_	_
17	das	die	A	ART	Def|Neut|_|Sg	19	det	765	765
18	himmelschreiende	himmelschreiend	A	ADJA	Pos|Neut|_|Sg|Wk|<PPRES	19	attr	765	765
19	Unrecht	Unrecht	N	NN	Neut|_|Sg	20	obja	765	765
20	abzuwenden	abwenden	V	VVIZU	_	14	obji	_	_
21	,	,	$	$,	_	0	root	_	_
22	das	die	P	PRELS	Neut|_|Sg	0	root	765	765
23	man	man	P	PIS	_|Nom|Sg	0	root	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	begehen	begehen	V	VVINF	_	0	root	_	_
26	im	in	P	APPRART	Dat	28	pp	_	_
27	Begriffe	Begriff	N	NN	Masc|Dat|Sg	26	pn	470	470
28	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	764	764
3	quälte	quälen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	mit	mit	P	APPR	Dat	3	pp	_	_
6	allerlei	allerlei	A	PIAT	Masc|Dat|Pl	7	det	_	_
7	Entwürfen	Entwurf	N	NN	Masc|Dat|Pl	5	pn	_	_
8	und	und	K	KON	_	7	kon	_	_
9	Plänen	Plan	N	NN	Masc|Dat|Pl	8	cj	766	766
10	,	,	$	$,	_	0	root	766	766
11	die	die	P	PRELS	Masc|Nom|Pl	16	subj	766	766
12	bis	bis	P	APPR	Acc	16	pp	_	_
13	an	an	P	APPR	Acc	12	pp	_	_
14	das	die	A	ART	Def|Neut|Acc|Sg	15	det	_	_
15	Abenteuerliche	Abenteuerliche	N	NN	Neut|Acc|Sg	13	pn	_	_
16	streiften	streifen	V	VVFIN	3|Pl|Past|_	9	rel	_	_
17	und	und	K	KON	_	0	root	_	_
18	die	die	A	ART	Def|_|_|_	17	cj	_	_
19	sie	sie	P	PPER	3|Sg|Fem|Nom	22	subj	764	764
20	ebenso	ebenso	A	ADV	_	21	adv	_	_
21	schnell	schnell	A	ADJD	Pos|	22	adv	_	_
22	verwarf	verwerfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
23	als	als	K	KOKOM	_	24	konj	_	_
24	auffaßte	auffaßte	V	VVFIN	_	22	neb	_	_
25	.	.	$	$.	_	0	root	_	_

1	Immer	immer	A	ADV	_	2	adv	_	_
2	mehr	mehr	A	ADV	_	3	adv	_	_
3	verschwand	verschwinden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	jeder	jede	A	PIDAT	Masc|Nom|Sg	5	det	_	_
5	Hoffnungsschimmer	Hoffnungsschimmer	N	NN	Masc|Nom|Sg	3	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	konj	_	_
8	daß	daß	K	KOUS	_	11	konj	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	11	subj	764	764
10	verzweifeln	verzweifeln	V	VVINF	_	11	aux	_	_
11	wollte	wollen	V	VMFIN	3|Sg|Past|_	3	neb	_	_
12	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	Madelons	Madelons	N	NE	_|Gen|_	5	gmod	402	402
3	unbedingtes	unbedingt	A	ADJA	Pos|Neut|_|Sg|St|	5	attr	_	_
4	kindliches	kindlich	A	ADJA	Pos|Neut|_|Sg|St|	5	attr	_	_
5	Vertrauen	Vertrauen	N	NN	Neut|_|Sg	1	cj	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	A	ART	Def|Fem|_|Sg	8	det	_	_
8	Verklärung	Verklärung	N	NN	Fem|_|Sg	5	app	_	_
9	,	,	$	$,	_	0	root	_	_
10	mit	mit	P	APPR	Dat	16	pp	_	_
11	der	die	P	PRELS	Fem|Dat|Sg	10	pn	402	402
12	sie	sie	P	PPER	3|Sg|Fem|Nom	16	subj	764	764
13	von	von	P	APPR	Dat	16	pp	_	_
14	dem	die	A	ART	Def|_|Dat|Sg	15	det	767	767
15	Geliebten	Geliebte	N	NN	_|Dat|Sg	13	pn	767	767
16	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	8	rel	_	_
17	,	,	$	$,	_	0	root	_	_
18	der	die	P	PRELS	_|_|Sg	0	root	767	767
19	nun	nun	A	ADV	_	22	adv	_	_
20	bald	bald	A	ADV	_	22	adv	_	_
21	,	,	$	$,	_	0	root	_	_
22	freigesprochen	freisprechen	V	VVPP	_	0	root	_	_
