1	Disses	Disses	N	NE	_|Nom|Sg	2	subj	267	267
33	Leich	Leich	N	NN	Fem|_|Sg	34	obja	_	_
34	haben	haben	V	VAFIN	3|Pl|Pres|_	37	s	_	_
35	wiel	wiel	N	NE	_|Nom|Pl	34	subj	468	468
36	,	,	$	$,	_	0	root	_	_
37	muhs	muhs	V	VVFIN	3|Sg|_|_	0	root	_	_
38	er	er	P	PPER	3|Sg|Masc|Nom	37	subj	468	468
39	es	es	P	PPER	3|Sg|Neut|_	37	expl	_	_
40	auch	auch	A	ADV	_	37	adv	_	_
41	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	hilft	helfen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	nichz	nichz	A	ADJD	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	P	PRELS	Neut|_|Sg	0	root	553	553
7	man	man	P	PIS	_|Nom|Sg	0	root	_	_
8	seine	seine	A	PPOSAT	_|_|_	9	det	280	280
9	Rähligon	Rähligon	N	NN	_|_|_	0	root	553)	553)
10	plos	plos	N	NE	_|_|_	9	app	280	280
11	im	in	P	APPRART	Dat	9	pp	_	_
12	Geheumen	Geheumen	N	NN	_|Dat|_	11	pn	117	117
13	had	had	N	NE	_|Dat|_	12	app	117	117
14	,	,	$	$,	_	0	root	_	_
15	sontern	sontern	V	VVFIN	_	0	root	_	_
16	man	man	P	PIS	_|Nom|Sg	17	subj	_	_
17	muhs	muhs	V	VVFIN	_|Sg|_|_	0	root	_	_
18	sie	sie	P	PPER	3|_|_|_	17	obja	117	117
19	zum	zu	P	APPRART	Dat	17	pp	_	_
20	erkehnen	erkehnen	N	NN	_|Dat|_	19	pn	_	_
21	geben	geben	V	VVINF	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	weil	weil	K	KOUS	_	27	konj	_	_
24	disses	disses	N	NE	_|Nom|Sg	27	subj	463	463
25	eine	eine	A	ART	Indef|Fem|Nom|Sg	26	det	_	_
26	Forschrifd	Forschrifd	N	NN	Fem|Nom|Sg	27	pred	_	_
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
28	und	und	K	KON	_	27	kon	_	_
29	sonzt	sonzt	N	NN	_	35	obja	197	197
30	der	die	A	ART	Def|Masc|Nom|Sg	31	det	234	234
31	Herr	Herr	N	NN	Masc|Nom|Sg	35	subj	234	234
32	Bfahrer	Bfahrer	N	NE	Masc|Nom|Sg	31	app	234	234
33	nicht	nicht	P	PTKNEG	_	35	adv	_	_
34	daran	daran	P	PROAV	_	35	pp	_	_
35	klaubt	klauben	V	VVFIN	3|Sg|Pres|Ind	28	cj	_	_
36	.	.	$	$.	_	0	root	_	_

1	Darum	Darum	P	PROAV	_	2	pp	_	_
2	missen	missen	V	VVFIN	_	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	574	574
4	inserne	inserne	F	FM	_	2	obja	_	_
5	Rähligon	Rähligon	F	FM	_	4	app	_	_
6	beweusen	beweusen	F	FM	_	5	app	_	_
7	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
2	gelangt	gelingen	V	VVFIN	2|Pl|Past|Ind	0	root	_	_
3	nichd	nichd	A	ADJD	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	das	die	P	PRELS	Neut|_|Sg	0	root	_	_
6	man	man	P	PIS	_|Nom|Sg	0	root	_	_
7	plos	plos	A	ADJD	_	8	adv	_	_
8	in	in	P	APPR	Acc	6	pp	_	_
9	die	die	A	ART	Def|_|Acc|_	10	det	_	_
10	Kierche	Kierche	N	NN	_|Acc|_	8	pn	_	_
11	get	get	F	FM	_|Acc|_	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	den	die	A	ART	Def|_|Dat|Pl	14	det	_	_
14	dahinein	dahinein	N	NN	_|Dat|Pl	15	objd	_	_
15	gehen	gehen	V	VVINF	_	0	root	_	_
16	fiele	fallen	V	VVFIN	_|Sg|Past|Subj	0	root	_	_
17	und	und	K	KON	_	0	root	_	_
18	auch	auch	A	ADV	_	21	adv	526	526
19	die	die	A	ART	Def|_|_|_	21	det	526	526
20	schwahchen	schwahchen	A	ADJA	_	21	attr	526	526
21	Kadolliken	Kadolliken	N	NN	_|_|_	17	cj	526	526
22	und	und	K	KON	_	21	kon	_	_
23	Schuhlerer	Schuhlerer	N	NE	_|_|_	22	cj	583	583
24	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	mahn	mahn	N	NE	_	3	obja	554	554
3	weis	weis	V	VVFIN	_	1	cj	_	_
4	ja	ja	A	ADV	_	3	adv	_	_
5	nichd	nichd	A	ADJD	_	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	ob	ob	K	KOUS	_	10	konj	_	_
8	es	es	P	PPER	3|Sg|Neut|_	13	expl	_	_
9	einen	eine	P	PIS	_|_|_	10	obja	_	_
10	freit	freien	V	VVFIN	_|_|Pres|Ind	3	subjc	_	_
11	,	,	$	$,	_	0	root	_	_
12	wen	wer	P	PWS	_|Acc|Sg	13	obja	_	_
13	mahn	mahn	V	VVFIN	_	10	subjc	_	_
14	darin	darin	P	PROAV	_	13	pp	_	_
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Sontern	Sontern	N	NE	_|Dat|_	6	objd	555	555
2	bald	bald	A	ADV	_	1	adv	555	555
3	einer	eine	P	PIS	Fem|Gen|Sg	1	gmod	555	555
4	seine	seine	A	PPOSAT	_|_|_	5	det	2	2
5	Rähligion	Rähligion	N	NN	_|_|_	6	obja	_	_
6	libt	libt	V	VVINF	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	bald	bald	A	ADV	_	9	adv	_	_
9	einer	eine	P	PIS	_|_|Sg	7	cj	_	_
10	seinen	seine	A	PPOSAT	_|_|_	11	det	2	2
11	Bfahrer	Bfahrer	N	NN	_|_|_	0	root	_	_
12	libt	libt	N	NE	_|_|_	11	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	muhs	muhs	V	VVFIN	3|Sg|_|_	0	root	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	2	2
16	den	die	A	ART	Def|_|_|_	17	det	_	_
17	Zendrumsmahn	Zendrumsmahn	N	NN	_|_|_	14	obja	_	_
18	wehlen	wehlen	N	NE	_|_|_	17	app	_	_
19	.	.	$	$.	_	0	root	_	_

1	Disses	Disses	N	NE	_|Nom|Sg	2	subj	267	267
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|_|Nom|Sg	4	det	556	556
4	Beweus	Beweus	N	NN	_|Nom|Sg	2	pred	556	556
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PRELS	Neut|_|Sg	0	root	556	556
7	einer	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
8	dengt	dengt	N	NN	Fem|_|Sg	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	die	die	A	ART	Def|_|Nom|Pl	3	det	_	_
2	fornemsten	fornemsten	A	ADJA	_	3	attr	_	_
3	Einrichdungen	Einrichdungen	N	NN	_|Nom|Pl	7	subj	_	_
4	der	die	A	ART	Def|_|Gen|_	6	det	535	535
5	kadollischen	kadollischen	A	ADJA	_	6	attr	535	535
6	Kierche	Kierche	N	NN	_|Gen|_	3	gmod	535	535
7	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	_	_
9	Beichdzeddl	Beichdzeddl	N	NN	Masc|Nom|Sg	7	pred	_	_
10	und	und	K	KON	_	9	kon	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	_	_
12	Schtiemzeddl	Schtiemzeddl	N	NN	Masc|Nom|Sg	10	cj	_	_
13	.	.	$	$.	_	0	root	_	_

1	Plos	Plos	N	NE	_|Dat|_	11	objd	_	_
2	durch	durch	P	APPR	Acc	11	pp	_	_
3	disse	disse	F	FM	_|Acc|_	2	pn	_	_
4	Zeddl	Zeddl	F	FM	_|Acc|_	3	app	_	_
5	kan	kan	F	FM	_|Acc|_	4	app	_	_
6	mahn	mahn	F	FM	_|Acc|_	5	app	_	_
7	die	die	A	ART	Def|_|_|_	8	det	557	557
8	Reunlichkeid	Reunlichkeid	N	NN	_|_|_	11	obja	557	557
9	der	die	A	ART	Def|_|Gen|_	10	det	557	557
10	Sähle	Sähle	N	NN	_|Gen|_	8	gmod	557	557
11	bezeigen	bezeigen	V	VVINF	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	die	die	A	ART	Def|_|_|_	14	det	_	_
14	Schterke	Schterke	N	NN	_|_|_	12	cj	_	_
15	seiner	seine	A	PPOSAT	_|Gen|_	16	det	557	557
16	Rähligon	Rähligon	N	NN	_|Gen|_	14	gmod	_	_
17	.	.	$	$.	_	0	root	_	_

1	Ahmen	ahmen	V	VVINF	_	0	root	_	_
2	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
2	giebt	giebt	A	ADJD	_	3	adv	_	_
3	ferschidene	ferschidene	A	ADJA	_|Fem|_|Pl|_	4	attr	_	_
4	Wiesenschaften	Wiesenschaft	N	NN	Fem|_|Pl	0	root	_	_
5	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
2	wo	wo	P	PWAV	_	0	root	_	_
3	der	die	A	ART	Def|_|_|_	4	det	558	558
4	Dokter	Dokter	N	NN	_|_|_	0	root	558	558
5	kehnen	kehnen	F	FM	_|_|_	4	app	558	558
6	mus	mus	F	FM	_|_|_	5	app	558	558
7	und	und	K	KON	_	0	root	_	_
8	eine	eine	A	ART	Indef|Fem|_|Sg	7	cj	_	_
9	,	,	$	$,	_	0	root	_	_
10	wo	wo	P	PWAV	_	0	root	_	_
11	der	die	A	ART	Def|_|_|_	12	det	469	469
12	Adfikat	Adfikat	N	NN	_|_|_	0	root	469	469
13	kehnt	kehnt	N	NE	_|_|_	12	app	469	469
14	und	und	K	KON	_	0	root	_	_
15	eine	eine	A	ART	Indef|Fem|_|Sg	14	cj	_	_
16	wo	wo	P	PWAV	_	0	root	_	_
17	der	die	A	ART	Def|_|_|_	18	det	117	117
18	Gehomeder	Gehomeder	N	NN	_|_|_	0	root	117	117
19	had	had	N	NE	_|_|_	18	app	117	117
20	und	und	K	KON	_	0	root	_	_
21	noch	noch	A	ADV	_	20	cj	_	_
22	eine	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
23	wo	wo	P	PWAV	_	0	root	_	_
24	der	die	A	ART	Def|_|_|_	25	det	_	_
25	bezirgsdierarzt	bezirgsdierarzt	F	FM	_|_|_	0	root	_	_
26	had	had	F	FM	_|_|_	25	app	_	_
27	.	.	$	$.	_	0	root	_	_

1	Disses	Disses	N	NE	_	3	obja	300	300
2	heußt	heußt	N	NE	_	1	app	300	300
3	mahn	mahn	V	VVFIN	_|Pl|_|_	0	root	_	_
4	die	die	A	ART	Def|Fem|Nom|Pl	6	det	559	559
5	weldlichen	weldlichen	A	ADJA	_|Fem|Nom|Pl|_	6	attr	559	559
6	Wiesenschaften	Wiesenschaft	N	NN	Fem|Nom|Pl	3	subj	559	559
7	,	,	$	$,	_	0	root	_	_
8	haber	haber	V	VVFIN	_	3	kon	_	_
9	sie	sie	P	PPER	3|_|_|_	8	obja	559	559
10	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
11	plos	plos	F	FM	_|Nom|Pl	10	subj	_	_
12	niezlich	niezlich	F	FM	_|Nom|Pl	11	app	_	_
13	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	giebt	giebt	V	VVFIN	3|Sg|_|_	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	eine	eine	A	ART	Indef|Fem|_|Sg	6	det	571	571
5	göthliche	göthliche	A	ADJA	_|Fem|_|Sg|_	6	attr	571	571
6	Wiesenschaft	Wiesenschaft	N	NN	Fem|_|Sg	2	obja	571	571
7	und	und	K	KON	_	2	kon	_	_
8	disse	dissen	V	VVFIN	_|Sg|Pres|_	7	cj	_	_
9	besiezt	besiezen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	_	_
11	Geischlichkeid	Geischlichkeid	N	NN	Fem|Nom|Sg	9	subj	_	_
12	und	und	K	KON	_	9	kon	_	_
13	disse	dissen	V	VVFIN	_|Sg|Pres|_	12	cj	_	_
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
15	nothwändig	nothwändig	A	ADJD	Pos|	14	pred	_	_
16	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Pl	3	det	_	_
2	weldliche	weldliche	A	ADJA	_|Fem|_|Pl|_	3	attr	_	_
3	Wiesenschaften	Wiesenschaft	N	NN	Fem|_|Pl	0	root	_	_
4	lehrnt	lehrnt	F	FM	Fem|_|Pl	3	app	_	_
5	mahn	mahn	F	FM	Fem|_|Pl	4	app	_	_
6	auf	auf	P	APPR	Dat	5	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	_	_
8	Universatet	Universatet	N	NN	Fem|Dat|Sg	6	pn	_	_
9	und	und	K	KON	_	0	root	_	_
10	kost	kosen	V	VVFIN	_|_|Pres|Ind	9	cj	_	_
11	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	10	s	_	_
12	Gäld	Gäld	N	NE	_|Nom|Sg	11	subj	561	561
13	,	,	$	$,	_	0	root	_	_
14	wo	wo	P	PWAV	_	0	root	_	_
15	die	die	A	ART	Def|_|_|_	16	det	_	_
16	Brofässer	Brofässer	N	NN	_|_|_	0	root	_	_
17	in	in	P	APPR	_	16	pp	_	_
18	ieren	ieren	F	FM	_|_|_	17	pn	_	_
19	Sak	Sak	F	FM	_|_|_	18	app	_	_
20	schiben	schiben	F	FM	_|_|_	19	app	_	_
21	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
2	weldliche	weldliche	A	ADJA	_	3	attr	_	_
3	Wiesenschafd	Wiesenschafd	N	NN	Fem|Nom|Sg	4	subj	_	_
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	beschlohsen	beschlohsen	N	NE	Fem|Nom|Sg	4	pred	408	408
6	durch	durch	P	APPR	Acc	5	pp	408	408
7	eine	eine	A	ART	Indef|Fem|Acc|Sg	8	det	408	408
8	Briefung	Briefung	N	NN	Fem|Acc|Sg	6	pn	408	408
9	und	und	K	KON	_	5	kon	_	_
10	eine	eine	A	ART	Indef|Fem|Nom|Sg	11	det	_	_
11	Anschtelung	Anschtelung	N	NN	Fem|Nom|Sg	9	cj	_	_
12	auf	auf	P	APPR	_	11	pp	_	_
13	Schtazkoschten	Schtazkoschten	N	NE	_|_|_	12	pn	_	_
14	,	,	$	$,	_	0	root	_	_
15	wo	wo	P	PWAV	_	0	root	_	_
16	das	die	A	ART	Def|Neut|_|Sg	17	det	_	_
17	Folk	Folk	N	NN	Neut|_|Sg	0	root	_	_
18	bezallt	bezallt	N	NE	Neut|_|Sg	17	app	_	_
19	und	und	K	KON	_	0	root	_	_
20	jez	jez	T	TRUNC	_	0	root	_	_
21	durch	durch	P	APPR	Acc	27	pp	_	_
22	die	die	A	ART	Def|_|Acc|_	23	det	_	_
23	Gnahde	Gnahde	N	NN	_|Acc|_	21	pn	_	_
24	des	die	A	ART	Def|_|Gen|Sg	25	det	_	_
25	barlamends	barlamends	F	FM	_|Gen|Sg	23	gmod	_	_
26	erhäht	erhäht	F	FM	_|Gen|Sg	25	app	_	_
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
28	gewohrden	gewohrden	N	NE	_|Nom|Sg	27	subj	_	_
29	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|_|_	2	det	_	_
2	göthliche	göthliche	F	FM	Neut|Nom|Sg	22	subj	_	_
3	Wiesenschafd	Wiesenschafd	F	FM	Neut|Nom|Sg	2	app	_	_
4	wierd	wierd	F	FM	Neut|Nom|Sg	3	app	_	_
5	beschlohsen	beschlohsen	F	FM	Neut|Nom|Sg	4	app	_	_
6	durch	durch	P	APPR	Acc	5	pp	_	_
7	eine	eine	A	ART	Indef|Fem|Acc|Sg	8	det	_	_
8	Brimins	Brimins	N	NN	Fem|Acc|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	wo	wo	P	PWAV	_	14	adv	_	_
11	die	die	A	ART	Def|Fem|Nom|Sg	13	det	_	_
12	gantse	gantse	A	ADJA	_	13	attr	_	_
13	Umgehgend	Umgehgend	N	NN	Fem|Nom|Sg	14	subj	_	_
14	feuert	feuern	V	VVFIN	3|Sg|Pres|Ind	8	rel	_	_
15	und	und	K	KON	_	5	kon	_	_
16	das	die	A	ART	Def|Neut|Nom|Sg	18	det	_	_
17	bedrefende	bedrefende	A	ADJA	_	18	attr	_	_
18	Wierzhaus	Wierzhaus	N	NN	Neut|Nom|Sg	15	cj	_	_
19	einen	eine	A	ART	Indef|Masc|Acc|Sg	21	det	_	_
20	grosen	grosen	A	ADJA	_	21	attr	_	_
21	Brofit	Brofit	N	NN	Masc|Acc|Sg	22	obja	_	_
22	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	indem	indem	K	KOUS	_	26	konj	_	_
25	es	es	P	PPER	3|Sg|Neut|Nom	26	subj	_	_
26	fiele	fallen	V	VVFIN	3|Sg|Past|Subj	22	neb	_	_
27	Kaibln	Kaibln	N	NE	_|Dat|_	26	objd	598	598
28	und	und	K	KON	_	27	kon	_	_
29	Säuhe	Säuhe	N	NE	_|Dat|_	28	cj	_	_
30	und	und	K	KON	_	29	kon	_	_
31	Gense	Gense	N	NE	_|Dat|_	30	cj	_	_
32	und	und	K	KON	_	31	kon	_	_
33	Ahnten	Ahnten	N	NN	_|Dat|_	32	cj	_	_
34	und	und	K	KON	_	33	kon	_	_
35	Schbansäuhe	Schbansäuhe	N	NE	_|Dat|_	34	cj	_	_
36	zum	zu	P	APPRART	Dat	26	pp	_	_
37	ähsen	ähsen	F	FM	_|Dat|_	36	pn	_	_
38	giebt	giebt	F	FM	_|Dat|_	37	app	_	_
39	und	und	K	KON	_	38	kon	_	_
40	disses	disses	F	FM	_|Dat|_	39	cj	_	_
41	schohn	schohn	F	FM	_|Dat|_	40	app	_	_
42	einen	eine	A	ART	Indef|Masc|Acc|Sg	44	det	_	_
43	siechtbahren	siechtbahren	A	ADJA	_	44	attr	_	_
44	Forzug	Forzug	N	NN	Masc|Acc|Sg	26	obja	_	_
45	der	die	A	ART	Def|_|Gen|_	46	det	_	_
46	göthlichen	göthlichen	F	FM	_|Gen|_	44	gmod	_	_
47	Wiesenschafd	Wiesenschafd	F	FM	_|Gen|_	46	app	_	_
48	bedeitet	bedeitet	F	FM	_|Gen|_	47	app	_	_
49	.	.	$	$.	_	0	root	_	_

1	Disses	Disses	N	NE	_|Nom|Sg	2	subj	267	267
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	nichd	nichd	A	ADJD	_	2	adv	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	7	det	560	560
6	einsige	einsig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	7	attr	560	560
7	sontern	sontern	N	NN	Masc|Nom|Sg	2	pred	560	560
8	es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
9	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	_
10	noch	noch	A	ADV	_	9	adv	_	_
11	mer	mer	A	ADJD	_	9	pred	_	_
12	.	.	$	$.	_	0	root	_	_

1	Durch	durch	P	APPR	Acc	5	pp	_	_
2	die	die	A	ART	Def|Fem|Acc|Sg	4	det	_	_
3	weldliche	weldliche	A	ADJA	_|Fem|Acc|Sg|_	4	attr	_	_
4	Wiesenschaft	Wiesenschaft	N	NN	Fem|Acc|Sg	1	pn	_	_
5	lehrnt	lehrnt	V	VVFIN	_|Sg|_|_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	_	_
7	betrefende	betrefende	F	FM	Masc|Nom|Sg	5	subj	_	_
8	plos	plos	F	FM	Masc|Nom|Sg	7	app	_	_
9	was	was	F	FM	Masc|Nom|Sg	8	app	_	_
10	anderne	anderne	F	FM	Masc|Nom|Sg	9	app	_	_
11	auch	auch	A	ADV	_	5	adv	_	_
12	kehnen	kehnen	A	ADJD	_	5	adv	_	_
13	und	und	K	KON	_	5	kon	_	_
14	gengen	gengen	F	FM	_|Nom|Sg	24	subj	_	_
15	nichd	nichd	F	FM	_|Nom|Sg	14	app	_	_
16	zuerscht	zuerscht	F	FM	_|Nom|Sg	15	app	_	_
17	auf	auf	P	APPR	Acc	16	pp	_	_
18	die	die	A	ART	Def|_|Acc|_	19	det	518	518
19	Unifersatet	Unifersatet	N	NN	_|Acc|_	17	pn	518	518
20	und	und	K	KON	_	19	kon	_	_
21	braugen	braugen	F	FM	_|Acc|_	20	cj	_	_
22	nichd	nichd	F	FM	_|Acc|_	21	app	_	_
23	so	so	A	ADV	_	17	adv	_	_
24	fiel	fallen	V	VVFIN	_|Sg|Past|Ind	13	cj	_	_
25	Gäld	Gäld	N	NE	_|Dat|_	24	objd	561	561
26	dem	die	A	ART	Def|_|Dat|Sg	27	det	_	_
27	Brofesser	Brofesser	N	NN	_|Dat|Sg	0	root	_	_
28	in	in	P	APPR	_	27	pp	_	_
29	Sak	Sak	N	NE	_|_|_	28	pn	_	_
30	schiben	schiben	N	NE	_|_|_	29	app	_	_
31	.	.	$	$.	_	0	root	_	_

1	Zum	zu	P	APPRART	Dat	0	root	_	_
2	beischpil	beischpil	A	ADJA	_|_|Dat|_|_	1	pn	_	_
3	was	was	P	PWS	Neut|_|Sg	0	root	_	_
4	der	die	A	ART	Def|_|Gen|_	5	det	541	541
5	Dokter	Dokter	N	NN	_|Gen|_	3	gmod	541	541
6	kahn	kahn	N	NE	_|Gen|_	5	app	541	541
7	,	,	$	$,	_	0	root	_	_
8	das	die	P	PRELS	Neut|_|Sg	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	0	root	2	2
10	die	die	A	ART	Def|_|_|_	11	det	_	_
11	Mentschen	Mentschen	N	NN	_|_|_	0	root	_	_
12	kurihrt	kurihrt	N	NE	_|_|_	11	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	disses	disses	F	FM	_|Dat|_	19	objd	_	_
15	kahn	kahn	F	FM	_|Dat|_	14	app	_	_
16	auch	auch	A	ADV	_	19	adv	_	_
17	ein	eine	A	ART	Indef|_|Nom|Sg	18	det	_	_
18	Schehfer	Schehfer	N	NN	_|Nom|Sg	19	subj	_	_
19	hoder	hoder	V	VVFIN	_|Sg|_|_	0	root	_	_
20	die	die	A	ART	Def|_|_|_	21	det	_	_
21	Dokterbäurin	Dokterbäurin	F	FM	_|_|Sg	19	obja	_	_
22	fon	fon	F	FM	_|_|Sg	21	app	_	_
23	Schönbruhn	Schönbruhn	F	FM	_|_|Sg	22	app	_	_
24	oder	oder	K	KON	_	23	kon	_	_
25	ein	eine	A	ART	Indef|_|_|Sg	26	det	_	_
26	Bahder	Bahder	N	NN	_|_|Sg	24	cj	_	_
27	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Acc	4	pp	_	_
2	dissem	dissem	A	ADJA	_|_|Acc|_|_	3	attr	_	_
3	Fahle	Fahle	N	NN	_|Acc|_	1	pn	_	_
4	derf	derf	V	VVFIN	3|Sg|_|_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	aber	aber	A	ADV	_	4	adv	_	_
7	nichd	nichd	F	FM	_	4	obja	_	_
8	Mädizien	Mädizien	F	FM	_	7	app	_	_
9	heußen	heußen	F	FM	_	8	app	_	_
10	sonter	sonter	F	FM	_	9	app	_	_
11	Bfuscher	Bfuscher	F	FM	_	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	indem	indem	K	KOUS	_	0	root	_	_
14	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
15	die	die	A	ART	Def|_|_|_	16	det	_	_
16	Gewabbelten	Gewabbelten	F	FM	_|_|_	0	root	_	_
17	nichd	nichd	F	FM	_|_|_	16	app	_	_
18	erlauhben	erlauhben	F	FM	_|_|_	17	app	_	_
19	for	for	F	FM	_|_|_	18	app	_	_
20	brohdneid	brohdneid	F	FM	_|_|_	19	app	_	_
21	,	,	$	$,	_	0	root	_	_
22	weil	weil	K	KOUS	_	29	konj	_	_
23	sonzt	sonzt	N	NE	_|Dat|_	29	objd	197	197
24	die	die	A	ART	Def|Fem|Nom|Sg	25	det	_	_
25	Brofesser	Brofesser	F	FM	Fem|Nom|Sg	29	subj	_	_
26	nichd	nichd	F	FM	Fem|Nom|Sg	25	app	_	_
27	mer	mer	F	FM	Fem|Nom|Sg	26	app	_	_
28	so	so	A	ADV	_	29	adv	_	_
29	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
30	Gäld	Gäld	N	NE	_	0	root	_	_
31	ferdihnen	ferdihnen	N	NE	_	30	app	_	_
32	.	.	$	$.	_	0	root	_	_

1	haber	haber	V	VVFIN	_	0	root	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	5	det	580	580
5	nemlinge	nemlinge	N	NN	Neut|Nom|Sg	3	pred	580	580
6	,	,	$	$,	_	0	root	580	580
7	plos	plos	N	NE	Neut|Nom|Sg	5	app	580	580
8	aus	aus	P	APPR	Dat	7	pp	580	580
9	anderne	anderne	N	NE	_|Dat|_	8	pn	578	578
10	Biecher	Biecher	N	NE	_|Dat|_	9	app	578	578
11	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	der	die	A	ART	Def|_|Gen|_	3	det	541	541
3	Adfikat	Adfikat	N	NN	_|Gen|_	1	gmod	541	541
4	kahn	kahn	N	NE	_|Gen|_	3	app	541	541
5	,	,	$	$,	_	0	root	_	_
6	das	die	P	PRELS	Neut|_|Sg	0	root	_	_
7	ferstet	ferstet	N	NE	_	0	root	566	566
8	auch	auch	A	ADV	_	10	adv	_	_
9	ein	eine	A	ART	Indef|_|_|Sg	10	det	_	_
10	Schreihber	Schreihber	N	NN	_|_|Sg	0	root	_	_
11	beim	bei	P	APPRART	Dat	10	pp	_	_
12	Notahr	Notahr	N	NN	_|Dat|_	11	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	haber	haber	V	VVFIN	3|Sg|_|_	0	root	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	2	2
16	derf	derf	A	ADJD	_	14	adv	_	_
17	auf	auf	P	APPR	Acc	14	pp	_	_
18	sein	seine	A	PPOSAT	Neut|Acc|Sg	19	det	2	2
19	Haus	Haus	N	NN	Neut|Acc|Sg	17	pn	_	_
20	keine	keine	A	PIAT	_|_|_	21	det	_	_
21	Dafel	Dafel	N	NN	_|_|_	14	obja	_	_
22	nichd	nichd	F	FM	_|_|_	21	app	_	_
23	hinmachen	hinmachen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
