1	Vivat	Vivat	N	NE	_	0	root	1180	1180
9	mich	ich	P	PPER	1|Sg|_|Acc	3	obja	768	768
10	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
11	an	an	P	PTKVZ	_	3	avz	_	_
12	,	,	$	$,	_	0	root	_	_
13	was	was	P	PRELS	Neut|Nom|Sg	17	subj	772	772
14	aus	aus	P	APPR	Dat	17	objp	_	_
15	meiner	meine	A	PPOSAT	Fem|Dat|Sg	16	det	768	768
16	Küche	Küche	N	NN	Fem|Dat|Sg	14	pn	_	_
17	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	10	rel	_	_
18	?	?	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hm	Hm	N	NE	_	5	vok	862	862
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	Doktor	Doktor	N	NN	Fem|Nom|Sg	5	subj	_	_
7	Asche	Asch	N	NN	Fem|Nom|Sg	6	app	_	_
8	,	,	$	$,	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	von	von	P	APPR	Dat	0	root	_	_
11	dem	die	A	ART	Def|_|Dat|Sg	12	det	_	_
12	übrigen	übrig	A	ADJA	_|Dat|Sg	10	pn	_	_
13	lieber	lieb	A	ADJD	Comp|	14	adv	_	_
14	morgen	morgen	A	ADV	_	10	adv	_	_
15	.	.	$	$.	_	0	root	_	_

1	Jaja	Jaja	N	NE	_	0	root	265	265
2	-	-	$	$(	_	0	root	_	_
3	industrielle	industriell	A	ADJA	Pos|Fem|_|Sg|_|	4	attr	_	_
4	Blüte	Blüte	N	NN	Fem|_|Sg	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	nationaler	national	A	ADJA	Pos|Masc|Nom|Sg|St|	7	attr	_	_
7	Wohlstand	Wohlstand	N	NN	Masc|Nom|Sg	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	-	-	$	$(	_	0	root	_	_
10	Ammoniak	Ammoniak	N	NN	Neut|_|Sg	13	obja	773	773
11	nicht	nicht	P	PTKNEG	_	13	adv	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	verkennen	verkennen	V	VVINF	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	trotz	trotz	P	APPR	Dat	0	root	_	_
16	aller	alle	A	PIDAT	_|_|_	17	det	_	_
17	Füllung	Füllung	N	NN	_|Dat|_	15	pn	_	_
18	mit	mit	P	APPR	Dat	17	pp	_	_
19	Borsdorfer	Borsdorfer	N	NE	_|Dat|_	18	pn	774	774
20	Äpfeln	Apfel	N	NN	_|Dat|_	17	app	_	_
21	.	.	$	$.	_	0	root	_	_

1	Einen	ein	A	ART	Indef|Masc|Acc|Sg	2	det	_	_
2	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	3	obja	_	_
3	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	Vater	Vater	N	NN	Masc|Nom|Sg	3	subj	76	76
5	Pfister	Pfister	N	NE	Masc|Nom|Sg	4	app	76	76
6	seinen	seine	A	PPOSAT	Masc|Dat|Sg	7	det	76	76
7	Günstling	Günstling	N	NN	Masc|Dat|Sg	3	objd	_	_
8	und	und	K	KON	_	7	kon	_	_
9	Gastfreund	Gastfreund	N	NN	Masc|Dat|Sg	8	cj	_	_
10	an	an	P	PTKVZ	_	3	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	als	als	K	KOKOM	_	13	konj	_	_
13	wisse	wissen	V	VVFIN	3|Sg|Pres|Subj	3	neb	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	76	76
15	nicht	nicht	P	PTKNEG	_	13	adv	_	_
16	recht	recht	A	ADJD	Pos|	13	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	ob	ob	K	KOUS	_	26	konj	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	76	76
20	ihm	er	P	PPER	3|Sg|_|Dat	25	objd	76	76
21	nicht	nicht	P	PTKNEG	_	25	adv	_	_
22	noch	noch	A	ADV	_	25	adv	_	_
23	etwas	etwas	P	PIS	_	25	obja	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	bemerken	bemerken	V	VVINF	_	26	aux	_	_
26	habe	haben	V	VAFIN	3|Sg|Pres|Subj	13	objc	_	_
27	;	;	$	$.	_	0	root	_	_
28	dann	dann	A	ADV	_	29	adv	_	_
29	aber	aber	A	ADV	_	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	seine	seine	A	PPOSAT	Fem|_|Sg	32	det	76	76
32	Müllerzipfelkappe	Müllerzipfelkappe	N	NN	Fem|_|Sg	0	root	_	_
33	vom	von	P	APPRART	Dat	32	pp	_	_
34	rechten	recht	A	ADJA	Pos|Neut|Dat|_|_|	50	attr	_	_
35	aufs	auf	P	APPRART	Acc	38	pp	_	_
36	linke	link	A	ADJA	Pos|Neut|Acc|Sg|Wk|	37	attr	_	_
37	Ohr	Ohr	N	NN	Neut|Acc|Sg	35	pn	_	_
38	schiebend	schieben	A	ADJD	_|<PPRES	49	adv	_	_
39	,	,	$	$,	_	0	root	_	_
40	meinte	meinen	V	VVFIN	3|Sg|Past|_	38	par	_	_
41	er	er	P	PPER	3|Sg|Masc|Nom	40	subj	76	76
42	mit	mit	P	APPR	Dat	40	pp	_	_
43	dem	die	A	ART	Def|_|Dat|Sg	44	det	_	_
44	alten	alt	A	ADJA	_|Dat|Sg	42	pn	_	_
45	,	,	$	$,	_	0	root	_	_
46	behaglichen	behaglich	A	ADJA	Pos|_|_|_|_|	38	kon	_	_
47	,	,	$	$,	_	0	root	_	_
48	guten	gut	A	ADJA	Pos|_|_|_|_|	46	kon	_	_
49	breiten	breit	A	ADJA	Pos|Neut|Dat|_|_|	50	attr	_	_
50	Lächeln	Lächeln	N	NN	Neut|Dat|_	33	pn	_	_
51	:	\:	$	$.	_	0	root	_	_
52	»	»	$	$(	_	0	root	_	_
53	Na	Na	I	ITJ	_	0	root	_	_
54	,	,	$	$,	_	0	root	_	_
55	im	in	P	APPRART	Dat	57	pp	_	_
56	Grunde	Grund	N	NN	Masc|Dat|Sg	55	pn	575	575
57	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
58	Ihr	ihr	P	PPER	2|Pl|_|Nom	57	subj	_	_
59	recht	recht	A	ADJD	Pos|	57	pred	_	_
60	,	,	$	$,	_	0	root	_	_
61	und	und	K	KON	_	57	kon	_	_
62	so	so	A	ADV	_	63	adv	_	_
63	will	wollen	V	VMFIN	1|Sg|Pres|Ind	61	cj	_	_
64	ich	ich	P	PPER	1|Sg|_|Nom	63	subj	76	76
65	'	'	$	$(	_	0	root	_	_
66	s	s	P	PPER	_	70	obja	774	774
67	auch	auch	A	ADV	_	70	adv	_	_
68	noch	noch	A	ADV	_	70	adv	_	_
69	mal	mal	A	ADV	_	70	adv	_	_
70	versuchen	versuchen	V	VVINF	_	63	aux	_	_
71	,	,	$	$,	_	0	root	_	_
72	mir	ich	P	PPER	1|Sg|_|Dat	76	objd	76	76
73	den	die	A	ART	Def|Masc|Acc|Sg	74	det	775	775
74	Appetit	Appetit	N	NN	Masc|Acc|Sg	76	obja	775	775
75	nicht	nicht	P	PTKNEG	_	76	adv	_	_
76	verderben	verderben	V	VVINF	_	70	kon	_	_
77	zu	zu	P	PTKZU	_	78	part	_	_
78	lassen	lassen	V	VVINF	_	70	obji	_	_
79	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	kommt	kommen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	herein	herein	A	ADV	_	2	adv	_	_
4	in	in	P	APPR	Acc	2	objp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	_	_
6	Stube	Stube	N	NN	Fem|Acc|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	junge	jung	A	ADJA	Pos|_|Acc|Pl|St|	9	attr	_	_
9	Leute	Leute	N	NN	_|Acc|Pl	6	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	2	kon	_	_
12	seid	sein	V	VAFIN	2|Pl|Pres|Ind	11	cj	_	_
13	willkommen	willkommen	A	ADJD	Pos|	12	adv	_	_
14	in	in	P	APPR	_	12	pp	_	_
15	Pfisters	Pfisters	N	NE	_|_|_	14	pn	84	84
16	Mühle	Mühle	N	NN	Fem|Nom|Sg	12	pred	106	106
17	.	.	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	Umsprungen	umspringen	V	VVPP	_	0	root	_	_
2	und	und	K	KON	_	0	root	_	_
3	umwedelt	umwedeln	V	VVFIN	_|_|Pres|_	2	cj	_	_
4	von	von	P	APPR	Dat	9	pp	_	_
5	allen	alle	A	PIDAT	Masc|Dat|Pl	6	det	_	_
6	Hunden	Hund	N	NN	Masc|Dat|Pl	4	pn	_	_
7	des	die	A	ART	Def|Neut|Gen|Sg	8	det	122	122
8	Hauses	Haus	N	NN	Neut|Gen|Sg	6	gmod	122	122
9	traten	treten	V	VVFIN	1|Pl|Past|Ind	0	root	_	_
10	wir	wir	P	PPER	1|Pl|_|Nom	9	subj	_	_
11	in	in	P	APPR	Acc	9	objp	_	_
12	die	die	A	ART	Def|Fem|Acc|Sg	13	det	399	399
13	Stube	Stube	N	NN	Fem|Acc|Sg	11	pn	399	399
14	und	und	K	KON	_	9	kon	_	_
15	nahmen	nehmen	V	VVFIN	_|Pl|Past|Ind	14	cj	_	_
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	971	971
17	Flaschenkorb	Flaschenkorb	N	NN	Masc|Acc|Sg	15	obja	971	971
18	mit	mit	P	APPR	Dat	15	pp	_	_
19	hinein	hinein	A	ADV	_	18	adv	_	_
20	.	.	$	$.	_	0	root	_	_

1	Oh	oh	I	ITJ	_	0	root	_	_
2	wie	wie	P	PWAV	_	10	adv	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	19	19
4	Mühle	Mühle	N	NN	Fem|Nom|Sg	10	subj	19	19
5	an	an	P	APPR	Dat	10	pp	_	_
6	jenem	jene	A	PDAT	Masc|Dat|Sg	7	det	_	_
7	Abend	Abend	N	NN	Masc|Dat|Sg	5	pn	_	_
8	noch	noch	A	ADV	_	10	adv	_	_
9	voll	voll	A	ADJD	Pos|	10	pred	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
11	von	von	P	APPR	Dat	10	pp	_	_
12	allem	alle	P	PIS	_|Dat|Sg	11	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	was	was	P	PRELS	Neut|Nom|Sg	19	subj	_	_
15	zur	zu	P	APPRART	Dat	19	objp	_	_
16	Behaglichkeit	Behaglichkeit	N	NN	Fem|Dat|Sg	15	pn	_	_
17	des	die	A	ART	Def|Neut|Gen|Sg	18	det	492	492
18	Lebens	Leben	N	NN	Neut|Gen|Sg	16	gmod	492	492
19	gehört	gehören	V	VVFIN	3|Sg|Pres|Ind	10	objc	_	_
20	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wie	wie	P	PWAV	_	5	adv	_	_
3	angenehm	angenehm	A	ADJD	Pos|	5	pred	_	_
4	es	es	P	PPER	3|Sg|Neut|_	31	expl	_	_
5	war	sein	V	VAFIN	_|Sg|Past|Ind	1	cj	_	_
6	,	,	$	$,	_	0	root	_	_
7	aus	aus	P	APPR	Dat	5	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	9	det	_	_
9	Kälte	Kälte	N	NN	Fem|Dat|Sg	7	pn	_	_
10	in	in	P	APPR	Acc	9	pp	_	_
11	die	die	A	ART	Def|Fem|Acc|Sg	12	det	776	776
12	Wärme	Wärme	N	NN	Fem|Acc|Sg	10	pn	776	776
13	,	,	$	$,	_	0	root	_	_
14	aus	aus	P	APPR	Dat	7	kon	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	_	_
16	Dunkelheit	Dunkelheit	N	NN	Fem|Dat|Sg	14	pn	_	_
17	in	in	P	APPR	Acc	16	pp	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
19	Lampenschein	Lampenschein	N	NN	Masc|Acc|Sg	17	pn	_	_
20	,	,	$	$,	_	0	root	_	_
21	von	von	P	APPR	_	31	pp	_	_
22	der	die	A	ART	Def|_|_|_	23	det	747	747
23	Landstraße	Landstraße	N	NN	_|_|_	21	pn	747	747
24	in	in	P	APPR	Acc	31	objp	_	_
25	die	die	A	ART	Def|_|Acc|_	26	det	_	_
26	Sofaecke	Sofaeck	N	NN	_|Acc|_	24	pn	_	_
27	hinter	hinter	P	APPR	_	26	pp	_	_
28	geschlossenen	geschlossen	A	ADJA	Pos|Masc|_|Pl|_|	29	attr	_	_
29	Fensterläden	Fensterladen	N	NN	Masc|_|Pl	27	pn	_	_
30	zu	zu	P	PTKZU	_	31	part	_	_
31	kommen	kommen	V	VVINF	_	5	subjc	_	_
32	!	!	$	$.	_	0	root	_	_

1	Meiner	meine	A	PPOSAT	_|_|_	2	det	781	781
2	Väter	Vater	N	NN	_|_|_	0	root	_	_
3	Hausrat	Hausrat	N	NN	Masc|Dat|Sg	2	app	_	_
4	noch	noch	A	ADV	_	5	adv	_	_
5	überall	überall	A	ADV	_	3	adv	_	_
6	an	an	P	APPR	_	3	pp	_	_
7	Ort	Ort	N	NN	_|_|Sg	6	pn	779	779
8	und	und	K	KON	_	7	kon	_	_
9	Stelle	Stelle	N	NN	Fem|_|Sg	8	cj	1321	1321
10	-	-	$	$(	_	0	root	_	_
11	die	die	A	ART	Def|Fem|_|Sg	12	det	_	_
12	Kuckucksuhr	Kuckucksuhr	N	NN	Fem|_|Sg	0	root	_	_
13	im	in	P	APPRART	Dat	12	pp	_	_
14	Winkel	Winkel	N	NN	Masc|Dat|Sg	13	pn	777	777
15	,	,	$	$,	_	0	root	_	_
16	die	die	P	PRELS	_|_|_	0	root	777	777
17	Bilder	Bild	N	NN	_|_|_	29	obja	_	_
18	an	an	P	APPR	Dat	29	pp	_	_
19	den	die	A	ART	Def|Fem|Dat|Pl	20	det	258	258
20	Wänden	Wand	N	NN	Fem|Dat|Pl	18	pn	258	258
21	(	(	$	$(	_	0	root	_	_
22	nur	nur	A	ADV	_	29	adv	_	_
23	die	die	A	ART	Def|Masc|Nom|Pl	24	det	778	778
24	Herren	Herr	N	NN	Masc|Nom|Pl	29	subj	778	778
25	Studenten	Student	N	NN	Masc|Nom|Pl	24	app	778	778
26	und	und	K	KON	_	25	kon	_	_
27	der	die	A	ART	Def|Masc|Nom|Sg	28	det	_	_
28	Liederkranz	Liederkranz	N	NN	Masc|Nom|Sg	26	cj	_	_
29	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
30	ja	ja	A	ADV	_	29	adv	_	_
31	ihre	ihre	A	PPOSAT	Fem|Nom|Pl	32	det	778	778
32	Massengruppierungen	Massengruppierung	N	NN	Fem|Nom|Pl	37	subj	_	_
33	in	in	P	APPR	_	37	pp	_	_
34	Lithographie	Lithographie	N	NN	Fem|_|Sg	33	pn	_	_
35	bis	bis	P	APPR	Acc	37	pp	_	_
36	jetzt	jetzt	A	ADV	_	35	adv	_	_
37	weggeholt	wegholen	V	VVPP	_	29	neb	_	_
38	)	)	$	$(	_	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	der	die	A	ART	Def|Masc|Nom|Sg	42	det	_	_
41	ausgestopfte	ausgestopft	A	ADJA	Pos|Masc|Nom|Sg|Wk|	42	attr	_	_
42	Wildkater	Wildkater	N	NN	Masc|Nom|Sg	0	root	_	_
43	in	in	P	APPR	Dat	42	pp	_	_
44	seinem	seine	A	PPOSAT	Masc|Dat|Sg	45	det	779	779
45	Glaskasten	Glaskasten	N	NN	Masc|Dat|Sg	43	pn	_	_
46	über	über	P	APPR	Dat	45	pp	_	_
47	der	die	A	ART	Def|Fem|Dat|Sg	48	det	_	_
48	Kommode	Kommode	N	NN	Fem|Dat|Sg	46	pn	_	_
49	und	und	K	KON	_	42	kon	_	_
50	die	die	A	ART	Def|Fem|Nom|Sg	52	det	_	_
51	zahme	zahm	A	ADJA	Pos|Fem|Nom|Sg|_|	52	attr	_	_
52	Hauskatze	Hauskatze	N	NN	Fem|Nom|Sg	49	cj	_	_
53	am	an	P	APPRART	Dat	52	pp	_	_
54	Ofen	Ofen	N	NN	Masc|Dat|Sg	53	pn	783	783
55	,	,	$	$,	_	0	root	_	_
56	sich	sie	P	PRF	3|_|_	0	root	_	_
57	bis	bis	P	APPR	Acc	0	root	_	_
58	über	über	P	APPR	Acc	61	pp	_	_
59	die	die	A	ART	Def|Neut|Acc|Pl	60	det	743	743
60	Ohren	Ohr	N	NN	Neut|Acc|Pl	58	pn	743	743
61	putzend	putzen	A	ADJD	_|<PPRES	57	pn	_	_
62	,	,	$	$,	_	0	root	_	_
63	weil	weil	K	KOUS	_	66	konj	_	_
64	Gäste	Gast	N	NN	Masc|Nom|Pl	66	subj	782	782
65	kommen	kommen	V	VVINF	_	66	aux	_	_
66	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
67	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	4	adv	_	_
4	auszusagen	aussagen	V	VVIZU	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	wo	wo	P	PWAV	_	10	adv	_	_
7	alle	alle	P	PIS	_|Nom|Pl	10	subj	_	_
8	die	die	A	ART	Def|_|Nom|Pl	9	det	270	270
9	Bilder	Bild	N	NN	_|Nom|Pl	10	pred	270	270
10	bleiben	bleiben	V	VVFIN	3|Pl|Pres|_	4	rel	_	_
11	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	780	780
2	Gäste	Gast	N	NN	Masc|Nom|Pl	8	subj	780	780
3	,	,	$	$,	_	0	root	780	780
4	die	die	P	PRELS	Masc|Nom|Pl	6	subj	780	780
5	kommen	kommen	V	VVINF	_	6	aux	_	_
6	sollten	sollen	V	VMFIN	3|Pl|Past|_	2	rel	_	_
7	,	,	$	$,	_	0	root	_	_
8	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	8	pred	_	_
10	-	-	$	$(	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	0	root	781	781
12	,	,	$	$,	_	0	root	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	_	_
14	Haussohn	Haussohn	N	NN	Masc|Nom|Sg	11	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	11	kon	_	_
17	Doktor	Doktor	N	NN	Fem|Nom|Sg	16	cj	_	_
18	Asche	Asch	N	NN	Fem|Nom|Sg	17	app	_	_
19	,	,	$	$,	_	0	root	_	_
20	der	die	P	PRELS	Masc|Nom|Sg	23	subj	_	_
21	gerufen	rufen	V	VVPP	_	22	aux	_	_
22	worden	werden	V	VAPP	_	23	aux	_	_
23	war	sein	V	VAFIN	3|Sg|Past|Ind	14	rel	_	_
24	,	,	$	$,	_	0	root	_	_
25	um	um	K	KOUI	_	34	konj	_	_
26	dem	die	A	ART	Def|Neut|Dat|Sg	27	det	_	_
27	Behagen	Behagen	N	NN	Neut|Dat|Sg	34	objd	_	_
28	von	von	P	APPR	_	27	pp	_	_
29	Pfisters	Pfisters	N	NE	_|_|_	28	pn	84	84
30	Mühle	Mühle	N	NN	Fem|Nom|Sg	34	pred	106	106
31	den	die	A	ART	Def|Masc|Acc|Sg	32	det	895	895
32	Puls	Puls	N	NN	Masc|Acc|Sg	34	obja	895	895
33	zu	zu	P	PTKZU	_	34	part	_	_
34	fühlen	fühlen	V	VVINF	_	23	neb	_	_
35	;	;	$	$.	_	0	root	_	_
36	aber	aber	K	KON	_	38	koord	_	_
37	es	es	P	PPER	3|Sg|Neut|_	38	expl	_	_
38	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
39	auch	auch	A	ADV	_	38	adv	_	_
40	schon	schon	A	ADV	_	38	adv	_	_
41	Gäste	Gast	N	NN	Masc|Nom|Pl	38	subj	782	782
42	vorhanden	vorhanden	A	ADJD	Pos|	38	pred	_	_
43	,	,	$	$,	_	0	root	_	_
44	derentwegen	derentwegen	N	NE	_	0	root	1209	1209
45	Miez	Miez	N	NE	_	44	app	1209	1209
46	am	an	P	APPRART	Dat	45	pp	_	_
47	Ofen	Ofen	N	NN	Masc|Dat|Sg	46	pn	783	783
48	sich	sie	P	PRF	3|_|_	0	root	_	_
49	dreist	dreist	A	ADJD	Pos|	53	adv	_	_
50	über	über	P	APPR	Acc	49	pp	_	_
51	die	die	A	ART	Def|Neut|Acc|Pl	52	det	743	743
52	Ohren	Ohr	N	NN	Neut|Acc|Pl	50	pn	743	743
53	putzen	putzen	V	VVINF	_	54	aux	_	_
54	durfte	dürfen	V	VMFIN	_|Sg|Past|Ind	0	root	_	_
55	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	784	784
2	lange	lang	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	784	784
3	Tisch	Tisch	N	NN	Masc|Nom|Sg	0	root	784	784
4	,	,	$	$,	_	0	root	_	_
5	der	die	P	PRELS	_|_|Sg	0	root	784	784
6	sich	sie	P	PRF	3|_|_	0	root	_	_
7	sonst	sonst	A	ADV	_	8	adv	_	_
8	unter	unter	P	APPR	Dat	0	root	_	_
9	gewöhnlichen	gewöhnlich	A	ADJA	Pos|Masc|Dat|Pl|_|	10	attr	_	_
10	Umständen	Umstand	N	NN	Masc|Dat|Pl	8	pn	_	_
11	die	die	A	ART	Def|_|_|_	0	root	_	_
12	eine	eine	A	ART	Indef|Fem|Nom|Sg	13	det	_	_
13	Wand	Wand	N	NN	Fem|Nom|Sg	18	subj	_	_
14	entlang	entlang	P	APPR	_	18	pp	_	_
15	vor	vor	P	APPR	Dat	14	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	120	120
17	Bank	Bank	N	NN	Fem|Dat|Sg	15	pn	120	120
18	herzog	herziehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
21	in	in	P	APPR	Acc	26	objp	_	_
22	die	die	A	ART	Def|Fem|Acc|Sg	23	det	_	_
23	Mitte	Mitte	N	NN	Fem|Acc|Sg	21	pn	_	_
24	der	die	A	ART	Def|Fem|Gen|Sg	25	det	785	785
25	Gaststube	Gaststube	N	NN	Fem|Gen|Sg	23	gmod	785	785
26	gerückt	rücken	V	VVPP	_	20	aux	_	_
27	,	,	$	$,	_	0	root	_	_
28	mit	mit	P	APPR	Dat	32	objp	_	_
29	einem	eine	A	ART	Indef|Neut|Dat|Sg	31	det	786	786
30	weißen	weiß	A	ADJA	Pos|Neut|Dat|Sg|Wk|	31	attr	786	786
31	Laken	Lake	N	NN	Neut|Dat|Sg	28	pn	786	786
32	überzogen	überziehen	V	VVPP	_	26	kon	_	_
33	und	und	K	KON	_	32	kon	_	_
34	mit	mit	P	APPR	Dat	36	objp	_	_
35	allem	alle	P	PIS	Neut|Dat|Sg	34	pn	_	_
36	versehen	versehen	V	VVPP	_	33	cj	_	_
37	,	,	$	$,	_	0	root	_	_
38	was	was	P	PRELS	Neut|Nom|Sg	46	subj	786	786
39	in	in	P	APPR	_	46	objp	_	_
40	Pfisters	Pfisters	N	NE	_|Gen|_	41	gmod	84	84
41	Mühle	Mühle	N	NN	Fem|_|Sg	39	pn	_	_
42	zu	zu	P	APPR	Dat	41	pp	_	_
43	einer	eine	A	ART	Indef|Fem|Dat|Sg	45	det	_	_
44	festlichen	festlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	45	attr	_	_
45	Tafel	Tafel	N	NN	Fem|Dat|Sg	42	pn	_	_
46	gehörte	gehören	V	VVFIN	3|Sg|Past|_	35	rel	_	_
47	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	Dat	16	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	3	det	_	_
3	Bank	Bank	N	NN	Fem|Dat|Sg	1	pn	_	_
4	,	,	$	$,	_	0	root	_	_
5	die	die	P	PRELS	_|Nom|Pl	14	subj	_	_
6	sie	sie	P	PPER	3|_|_|_	13	obja	786	786
7	demnächst	demnächst	A	ADV	_	13	adv	_	_
8	an	an	P	APPR	Acc	13	pp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	171	171
10	Tisch	Tisch	N	NN	Masc|Acc|Sg	8	pn	171	171
11	nach	nach	P	APPR	Dat	13	pp	_	_
12	sich	sie	P	PRF	3|_|Dat	11	pn	_	_
13	rücken	rücken	V	VVINF	_	14	aux	_	_
14	sollten	sollen	V	VMFIN	3|Pl|Past|_	3	rel	_	_
15	,	,	$	$,	_	0	root	_	_
16	saßen	sitzen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
17	die	die	A	ART	Def|_|Nom|Pl	18	det	787	787
18	Knappen	Knappe	N	NN	_|Nom|Pl	16	subj	787	787
19	und	und	K	KON	_	18	kon	_	_
20	der	die	A	ART	Def|Masc|Nom|Sg	21	det	207	207
21	Junge	Junge	N	NN	Masc|Nom|Sg	19	cj	207	207
22	in	in	P	APPR	_	16	pp	_	_
23	ihren	ihre	A	PPOSAT	Masc|_|_	25	det	787	787
24	reinlichen	reinlich	A	ADJA	Pos|Masc|_|_|_|	25	attr	_	_
25	Müllerhabitern	Müllerhabitern	N	NN	Masc|_|_	22	pn	_	_
26	(	(	$	$(	_	0	root	_	_
27	wie	wie	K	KOKOM	_	0	root	_	_
28	die	die	A	ART	Def|_|_|Pl	30	det	_	_
29	weißen	weiß	A	ADJA	Pos|_|_|Pl|Wk|	30	attr	_	_
30	Tauben	Taube	N	NN	_|_|Pl	27	cj	_	_
31	auf	auf	P	APPR	Dat	30	pp	_	_
32	dem	die	A	ART	Def|Masc|Dat|Sg	33	det	_	_
33	Dachfirst	Dachfirst	N	NN	Masc|Dat|Sg	31	pn	_	_
34	,	,	$	$,	_	0	root	_	_
35	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
36	Asche	Asche	N	NE	_|Nom|Sg	35	subj	151	151
37	)	)	$	$(	_	0	root	_	_
38	,	,	$	$,	_	0	root	_	_
39	und	und	K	KON	_	35	kon	_	_
40	hinter	hinter	P	APPR	Dat	44	objp	_	_
41	einer	eine	A	ART	Indef|Fem|Dat|Sg	43	det	_	_
42	geputzten	geputzt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	43	attr	_	_
43	Tanne	Tann	N	NN	Fem|Dat|Sg	40	pn	_	_
44	stand	stehen	V	VVFIN	3|Sg|Past|Ind	39	cj	_	_
45	Samse	Samse	N	NE	_|Nom|Sg	44	subj	203	203
46	(	(	$	$(	_	0	root	_	_
47	wie	wie	K	KOKOM	_	0	root	_	_
48	der	die	A	ART	Def|Masc|_|_	49	det	_	_
49	Feuerwerker	Feuerwerker	N	NN	Masc|_|_	47	cj	_	_
50	hinter	hinter	P	APPR	Dat	49	pp	_	_
51	der	die	A	ART	Def|Fem|Dat|Sg	52	det	_	_
52	Kanone	Kanone	N	NN	Fem|Dat|Sg	50	pn	_	_
53	,	,	$	$,	_	0	root	_	_
