1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	31	31
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	_	_
16	Ecke	Eck	N	NN	Fem|Dat|Sg	14	pn	_	_
17	holte	holen	V	VVFIN	3|Sg|Past|_	6	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	»	»	$	$(	_	0	root	_	_
20	weißt	weißen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
21	du	du	P	PPER	2|Sg|_|Nom	20	subj	50	50
22	denn	denn	A	ADV	_	20	adv	_	_
23	das	die	A	ART	Def|Neut|_|Sg	24	det	_	_
24	Sprüchlein	Sprüchlein	N	NN	Neut|_|Sg	0	root	_	_
25	für	für	P	APPR	Acc	24	pp	_	_
26	die	die	A	ART	Def|Fem|Acc|Sg	27	det	47	47
27	Regenfrau	Regenfrau	N	NN	Fem|Acc|Sg	25	pn	47	47
28	?	?	$	$.	_	0	root	_	_
29	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	17	17
3	?	?	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	fragte	fragen	V	VVFIN	_|Sg|Past|_	0	root	_	_
6	das	die	A	ART	Def|Neut|Nom|Sg	7	det	48	48
7	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	14	subj	48	48
8	,	,	$	$,	_	0	root	_	_
9	indem	indem	K	KOUS	_	11	konj	_	_
10	sie	sie	P	PPER	3|Sg|Fem|Nom	11	subj	47	47
11	erstaunt	erstaunen	V	VVFIN	3|Sg|Pres|Ind	14	neb	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	49	49
13	Kopf	Kopf	N	NN	Masc|Acc|Sg	14	obja	49	49
14	zurückwarf	zurückwerfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nun	nun	A	ADV	_	8	adv	_	_
3	,	,	$	$,	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	17	17
5	dachte	denken	V	VVFIN	1|Sg|Past|Ind	2	par	_	_
6	nur	nur	A	ADV	_	5	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	weil	weil	K	KOUS	_	0	root	_	_
9	du	du	P	PPER	2|Sg|_|Nom	0	root	50	50
10	so	so	A	ADV	_	11	adv	_	_
11	keck	keck	A	ADJD	Pos|	13	adv	_	_
12	dem	die	A	ART	Def|Masc|Dat|Sg	13	det	_	_
13	Vater	Vater	N	NN	Masc|Dat|Sg	0	root	_	_
14	vor	vor	P	APPR	Acc	13	pp	_	_
15	die	die	A	ART	Def|Masc|Acc|Pl	16	det	52	52
16	Füße	Fuß	N	NN	Masc|Acc|Pl	14	pn	52	52
17	tratst	tratst	N	NE	Masc|Acc|Pl	16	app	52	52
18	.	.	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nicht	nicht	P	PTKNEG	_	0	root	_	_
3	doch	doch	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	Mutter	Mutter	N	NN	Fem|_|Sg	0	root	14	14
6	Stine	Stine	N	NE	Fem|_|Sg	5	app	14	14
7	,	,	$	$,	_	0	root	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	9	objd	17	17
9	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
10	nur	nur	A	ADV	_	9	adv	_	_
11	so	so	A	ADV	_	9	adv	_	_
12	ums	um	P	APPRART	Acc	9	pp	_	_
13	Herz	Herz	N	NN	_|Acc|_	12	pn	51	51
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	9	kon	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	17	17
17	dachte	denken	V	VVFIN	1|Sg|Past|Ind	15	cj	_	_
18	auch	auch	A	ADV	_	17	adv	_	_
19	,	,	$	$,	_	0	root	_	_
20	Ihr	ihr	P	PPER	2|Pl|_|Nom	22	subj	_	_
21	selber	selber	A	ADV	_	20	adv	_	_
22	würdet	werden	V	VAFIN	2|Pl|Past|Subj	17	s	_	_
23	'	'	$	$(	_	0	root	_	_
24	s	s	P	PPER	_	28	obja	51	51
25	wohl	wohl	A	ADV	_	28	adv	_	_
26	noch	noch	A	ADV	_	28	adv	_	_
27	beisammen	beisammen	A	ADV	_	28	adv	_	_
28	bekommen	bekommen	V	VVINF	_	22	aux	_	_
29	.	.	$	$.	_	0	root	_	_

1	Räumt	räumen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	nur	nur	A	ADV	_	1	adv	_	_
3	ein	eine	A	ART	Indef|_|Nom|Sg	4	det	_	_
4	bissel	bissel	N	NN	_|Nom|Sg	1	subj	_	_
5	auf	auf	P	APPR	_	1	pp	_	_
6	in	in	P	APPR	Dat	5	pp	_	_
7	Eurem	eure	A	PPOSAT	Masc|Dat|Sg	8	det	52	52
8	Kopfe	Kopf	N	NN	Masc|Dat|Sg	6	pn	_	_
9	;	;	$	$.	_	0	root	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
11	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
12	ja	ja	A	ADV	_	16	adv	_	_
13	noch	noch	A	ADV	_	16	adv	_	_
14	irgendwo	irgendwo	A	ADV	_	16	adv	_	_
15	verkramet	verkramet	A	ADJD	_	16	adv	_	_
16	liegen	liegen	V	VVINF	_	11	aux	_	_
17	!	!	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	Frau	Frau	N	NN	Fem|Nom|Sg	3	subj	14	14
2	Stine	Stine	N	NE	Fem|Nom|Sg	1	app	14	14
3	schüttelte	schütteln	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	49	49
5	Kopf	Kopf	N	NN	Masc|Acc|Sg	3	obja	49	49
6	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|_|_|_	3	det	54	54
3	Urahn	Urahn	N	NN	Fem|Nom|Sg	4	subj	54	54
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	7	objd	17	17
6	früh	früh	A	ADJD	Pos|	7	adv	_	_
7	gestorben	sterben	V	VVPP	_	4	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	3	obja	_	_
2	aber	aber	A	ADV	_	1	adv	_	_
3	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	17	17
5	wohl	wohl	A	ADV	_	3	adv	_	_
6	noch	noch	A	ADV	_	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	13	konj	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	53	53
10	damals	damals	A	ADV	_	11	adv	_	_
11	große	groß	A	ADJA	Pos|_|_|_|_|	12	attr	_	_
12	Dürre	Dürre	N	NN	_|_|_	13	obja	_	_
13	hatten	haben	V	VAFIN	1|Pl|Past|Ind	3	neb	_	_
14	,	,	$	$,	_	0	root	_	_
15	wie	wie	P	PWAV	_	0	root	_	_
16	eben	eben	A	ADV	_	15	adv	_	_
17	jetzt	jetzt	A	ADV	_	15	adv	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	0	root	_	_
20	uns	wir	P	PPER	1|Pl|_|_	29	obja	53	53
21	dabei	dabei	P	PROAV	_	29	pp	_	_
22	mit	mit	P	APPR	Dat	29	pp	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	_	_
24	Saat	Saat	N	NN	Fem|Dat|Sg	22	pn	_	_
25	oder	oder	K	KON	_	24	kon	_	_
26	dem	die	A	ART	Def|Neut|Dat|Sg	27	det	_	_
27	Viehzeug	Viehzeug	N	NN	Neut|Dat|Sg	25	cj	_	_
28	Unheil	Unheil	N	NN	Neut|Nom|Sg	29	subj	_	_
29	zuschlug	zuschlagen	V	VVFIN	3|Sg|Past|Ind	19	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	dann	dann	A	ADV	_	32	adv	_	_
32	pflegte	pflegen	V	VVFIN	3|Sg|Past|_	0	root	_	_
33	sie	sie	P	PPER	3|Sg|Fem|Nom	32	subj	54	54
34	wohl	wohl	A	ADV	_	32	adv	_	_
35	ganz	ganz	A	ADV	_	36	adv	_	_
36	heimlich	heimlich	A	ADJD	Pos|	38	adv	_	_
37	zu	zu	P	PTKZU	_	38	part	_	_
38	sagen	sagen	V	VVINF	_	32	obji	_	_
39	:	\:	$	$.	_	0	root	_	_
40	›	›	F	FM	_	42	obja	_	_
41	Das	Das	F	FM	_	40	app	_	_
42	tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
43	der	die	A	ART	Def|Masc|Nom|Sg	44	det	78	78
44	Feuermann	Feuermann	N	NN	Masc|Nom|Sg	42	subj	78	78
45	uns	wir	P	PPER	1|Pl|_|Dat	42	objd	53	53
46	zum	zu	P	APPRART	Dat	42	pp	_	_
47	Schabernack	Schabernack	N	NN	Masc|Dat|Sg	46	pn	_	_
48	,	,	$	$,	_	0	root	_	_
49	weil	weil	K	KOUS	_	55	konj	_	_
50	ich	ich	P	PPER	1|Sg|_|Nom	55	subj	17	17
51	einmal	einmal	A	ADV	_	54	adv	_	_
52	die	die	A	ART	Def|Fem|_|Sg	53	det	47	47
53	Regenfrau	Regenfrau	N	NN	Fem|_|Sg	54	obja	47	47
54	geweckt	wecken	V	VVPP	_	55	aux	_	_
55	habe	haben	V	VAFIN	1|Sg|Pres|_	42	neb	_	_
56	!	!	$	$.	_	0	root	_	_
57	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|Masc|_|_	3	det	94	94
3	Feuermann	Feuermann	N	NN	Masc|_|_	0	root	94	94
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	das	die	A	ART	Def|Neut|Nom|Sg	8	det	48	48
8	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	6	subj	48	48
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	wer	wer	P	PWS	_|Nom|Sg	12	subj	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	denn	denn	A	ADV	_	12	adv	_	_
14	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
15	nun	nun	A	ADV	_	16	adv	_	_
16	wieder	wieder	A	ADV	_	0	root	_	_
17	?	?	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_
19	Aber	aber	K	KON	_	0	root	_	_
20	ehe	ehe	K	KOUS	_	26	konj	_	_
21	sie	sie	P	PPER	3|Sg|Fem|Nom	26	subj	47	47
22	noch	noch	A	ADV	_	25	adv	_	_
23	eine	eine	A	ART	Indef|Fem|_|Sg	24	det	_	_
24	Antwort	Antwort	N	NN	Fem|_|Sg	25	obja	_	_
25	erhalten	erhalten	V	VVINF	_	26	aux	_	_
26	konnte	können	V	VMFIN	3|Sg|Past|Ind	28	neb	_	_
27	,	,	$	$,	_	0	root	_	_
28	war	sein	V	VAFIN	3|Sg|Past|Ind	19	cj	_	_
29	sie	sie	P	PPER	3|Sg|Fem|Nom	28	subj	47	47
30	schon	schon	A	ADV	_	33	adv	_	_
31	ans	an	P	APPRART	Acc	33	objp	_	_
32	Fenster	Fenster	N	NN	Neut|Acc|_	31	pn	_	_
33	gesprungen	springen	V	VVPP	_	28	aux	_	_
34	und	und	K	KON	_	28	kon	_	_
35	rief	rufen	V	VVFIN	_|Sg|Past|Ind	34	cj	_	_
36	:	\:	$	$.	_	0	root	_	_
37	»	»	$	$(	_	0	root	_	_
38	Um	um	P	APPR	Acc	44	pp	_	_
39	Gott	Gott	N	NN	Masc|Acc|Sg	38	pn	_	_
40	,	,	$	$,	_	0	root	_	_
41	Mutter	Mutter	N	NN	Fem|Acc|Sg	39	app	_	_
42	,	,	$	$,	_	0	root	_	_
43	da	da	A	ADV	_	39	adv	_	_
44	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
45	der	die	A	ART	Def|Masc|Nom|Sg	46	det	45	45
46	Andrees	Andrees	N	NN	Masc|Nom|Sg	44	subj	45	45
47	;	;	$	$.	_	0	root	_	_
48	seht	sehen	V	VVFIN	2|Pl|Pres|Ind	54	neb	_	_
49	nur	nur	A	ADV	_	48	adv	_	_
50	,	,	$	$,	_	0	root	_	_
51	wie	wie	P	PWAV	_	52	adv	_	_
52	verstürzt	verstürzen	V	VVFIN	_|_|Pres|Ind	54	objc	_	_
53	er	er	P	PPER	3|Sg|Masc|Nom	54	subj	45	45
54	aussieht	aussehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
55	!	!	$	$.	_	0	root	_	_
56	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	17	17
2	Witwe	Witwe	N	NN	Fem|Nom|Sg	3	subj	17	17
3	erhob	erheben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	von	von	P	APPR	Dat	3	pp	_	_
6	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	7	det	17	17
7	Spinnrade	Spinnrad	N	NN	Neut|Dat|Sg	5	pn	_	_
8	:	\:	$	$.	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	Freilich	freilich	A	ADV	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	Kind	Kind	N	NN	Neut|_|Sg	0	root	55	55
13	«	«	$	$(	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	sagte	sagen	V	VVFIN	3|Sg|Past|_	20	s	_	_
16	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	17	17
17	niedergeschlagen	niederschlagen	V	VVPP	_	15	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	»	»	$	$(	_	0	root	_	_
20	siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
21	du	du	P	PPER	2|Sg|_|Nom	20	subj	_	_
22	denn	denn	A	ADV	_	20	adv	_	_
23	nicht	nicht	P	PTKNEG	_	20	adv	_	_
24	,	,	$	$,	_	0	root	_	_
25	was	was	P	PWS	Neut|_|Sg	30	obja	_	_
26	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	3	3
27	auf	auf	P	APPR	Dat	30	objp	_	_
28	dem	die	A	ART	Def|_|Dat|Sg	29	det	71	71
29	Rücken	Rücken	N	NN	_|Dat|Sg	27	pn	71	71
30	trägt	tragen	V	VVFIN	3|Sg|Pres|Ind	20	objc	_	_
31	?	?	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	schon	schon	A	ADV	_	4	adv	_	_
4	wieder	wieder	A	ADV	_	5	adv	_	_
5	eins	eins	C	CARD	_	0	root	_	_
6	von	von	P	APPR	Dat	5	pp	_	_
7	den	die	A	ART	Def|Neut|Dat|Pl	8	det	93	93
8	Schafen	Schaf	N	NN	Neut|Dat|Pl	6	pn	93	93
9	verdurstet	verdursten	V	VVPP	_	0	root	_	_
10	.	.	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Bald	bald	A	ADV	_	2	adv	_	_
2	darauf	darauf	P	PROAV	_	3	pp	_	_
3	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	6	det	56	56
5	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	6	attr	56	56
6	Bauer	Bauer	N	NN	Masc|Nom|Sg	3	subj	56	56
7	ins	in	P	APPRART	Acc	3	objp	_	_
8	Zimmer	Zimmer	N	NN	Neut|Acc|_	7	pn	_	_
9	und	und	K	KON	_	3	kon	_	_
10	legte	legen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	das	die	A	ART	Def|Neut|_|Sg	13	det	_	_
12	tote	tote	A	ADJA	_|Neut|_|Sg|_	13	attr	_	_
13	Tier	Tier	N	NN	Neut|_|Sg	10	obja	_	_
14	vor	vor	P	APPR	Dat	10	pp	_	_
15	den	die	A	ART	Def|Fem|Dat|Pl	16	det	58	58
16	Frauen	Frau	N	NN	Fem|Dat|Pl	14	pn	58	58
17	auf	auf	P	APPR	Acc	10	objp	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
19	Estrich	Estrich	N	NN	Masc|Acc|Sg	17	pn	_	_
20	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Da	da	A	ADV	_	3	adv	_	_
3	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
4	ihr	ihr	P	PPER	2|Pl|_|Nom	3	subj	_	_
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_	3	obja	8	8
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	56	56
11	finster	finster	A	ADJD	Pos|	9	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	indem	indem	K	KOUS	_	25	konj	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	56	56
15	sich	sie	P	PRF	3|_|Dat	25	objd	_	_
16	mit	mit	P	APPR	Dat	25	pp	_	_
17	der	die	A	ART	Def|Fem|Dat|Sg	18	det	7	7
18	Hand	Hand	N	NN	Fem|Dat|Sg	16	pn	7	7
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	57	57
20	Schweiß	Schweiß	N	NN	Masc|Acc|Sg	25	obja	57	57
21	von	von	P	APPR	_	25	pp	_	_
22	der	die	A	ART	Def|Fem|_|Sg	24	det	253	253
23	heißen	heiß	A	ADJA	Pos|Fem|_|Sg|Wk|	24	attr	253	253
24	Stirn	Stirn	N	NN	Fem|_|Sg	21	pn	253	253
25	strich	streichen	V	VVFIN	3|Sg|Past|Ind	9	neb	_	_
26	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	2	det	58	58
2	Frauen	Frau	N	NN	Fem|Nom|Pl	3	subj	58	58
3	sahen	sehen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
4	mehr	mehr	A	ADV	_	3	adv	_	_
5	in	in	P	APPR	Acc	3	pp	_	_
6	sein	seine	A	PPOSAT	Neut|Acc|Sg	7	det	3	3
7	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	5	pn	_	_
8	als	als	K	KOKOM	_	3	kom	_	_
9	auf	auf	P	APPR	Acc	8	cj	_	_
10	die	die	A	ART	Def|Fem|Acc|Sg	12	det	_	_
11	tote	tote	A	ADJA	_|Fem|Acc|Sg|_	12	attr	_	_
12	Kreatur	Kreatur	N	NN	Fem|Acc|Sg	9	pn	_	_
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nimm	nehmen	V	VVIMP	Sg	0	root	_	_
3	dir	du	P	PPER	2|Sg|_|Dat	2	objd	_	_
4	'	'	$	$(	_	0	root	_	_
5	s	s	P	PPER	_	2	obja	8	8
6	nicht	nicht	P	PTKNEG	_	9	adv	_	_
7	so	so	A	ADV	_	9	adv	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	Herzen	herzen	V	VVINF	_	2	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	Andrees	Andrees	N	NE	_	0	root	79	79
12	!	!	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_
14	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
15	Maren	Maren	N	NE	Fem|Nom|Sg	14	subj	41	41
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wir	wir	P	PPER	1|Pl|_|Nom	3	subj	_	_
3	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
4	die	die	A	ART	Def|Fem|_|Sg	5	det	47	47
5	Regenfrau	Regenfrau	N	NN	Fem|_|Sg	6	obja	47	47
6	wecken	wecken	V	VVINF	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	3	kon	_	_
9	dann	dann	A	ADV	_	10	adv	_	_
10	wird	werden	V	VAFIN	3|Sg|Pres|Ind	8	cj	_	_
11	alles	alle	P	PIS	Neut|Nom|Sg	10	subj	_	_
12	wieder	wieder	A	ADV	_	14	adv	_	_
13	gut	gut	A	ADJD	Pos|	14	pred	_	_
14	werden	werden	V	VAINF	_	10	aux	_	_
15	.	.	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|Fem|_|Sg	3	det	47	47
3	Regenfrau	Regenfrau	N	NN	Fem|_|Sg	0	root	47	47
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	wiederholte	wiederholen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	3	3
8	tonlos	tonlos	A	ADJD	Pos|	6	adv	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Maren	Maren	N	NE	Fem|_|Sg	0	root	41	41
5	,	,	$	$,	_	0	root	_	_
6	wer	wer	P	PWS	_|Nom|Sg	9	subj	_	_
7	die	die	P	PDS	_|_|_	8	obja	_	_
8	wecken	wecken	V	VVINF	_	9	aux	_	_
9	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
10	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	aber	aber	A	ADV	_	3	adv	_	_
5	auch	auch	A	ADV	_	3	adv	_	_
6	nicht	nicht	P	PTKNEG	_	3	adv	_	_
7	wegen	wegen	P	APPR	_	0	root	_	_
8	dem	die	A	ART	Def|_|Dat|Sg	0	root	_	_
9	allein	allein	A	ADV	_	0	root	_	_
10	;	;	$	$.	_	0	root	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	17	17
14	etwas	etwas	P	PIS	_|Nom|_	12	pred	_	_
15	widerfahren	widerfahren	V	VVINF	_	0	root	_	_
16	draußen	draußen	A	ADV	_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_
19	-	-	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	59	59
2	Mutter	Mutter	N	NN	Fem|Nom|Sg	3	subj	59	59
3	faßte	faßte	V	VVFIN	_|Sg|_|_	0	root	_	_
4	zärtlich	zärtlich	A	ADJD	Pos|	3	adv	_	_
5	seine	seine	A	PPOSAT	Fem|_|Sg	6	det	3	3
6	Hand	Hand	N	NN	Fem|_|Sg	3	obja	_	_
7	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	3	adv	_	_
3	sag	sag	V	VVFIN	3|Sg|_|_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	von	von	P	APPR	Dat	3	pp	_	_
6	dir	du	P	PPER	2|Sg|_|Dat	5	pn	60	60
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	ermahnte	ermahnen	V	VVFIN	_|Sg|Past|_	3	kon	_	_
10	sie	sie	P	PPER	3|_|_|_	9	obja	59	59
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	damit	damit	K	KOUS	_	18	konj	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	18	subj	_	_
15	dich	du	P	PPER	2|Sg|_|Acc	18	obja	60	60
16	nicht	nicht	P	PTKNEG	_	18	adv	_	_
17	siech	siech	A	ADJD	Pos|	18	pred	_	_
18	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	_
19	!	!	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	3	adv	_	_
3	hört	hören	V	VVFIN	_|_|Pres|Ind	0	root	_	_
4	denn	denn	A	ADV	_	3	adv	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	erwiderte	erwidern	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	3	3
9	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	62	62
4	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
5	nach	nach	P	APPR	Dat	8	pp	_	_
6	unsern	unsre	A	PPOSAT	Neut|Dat|Pl	7	det	_	_
7	Schafen	Schaf	N	NN	Neut|Dat|Pl	5	pn	_	_
8	sehen	sehen	V	VVINF	_	4	aux	_	_
9	und	und	K	KON	_	0	root	_	_
10	ob	ob	K	KOUS	_	0	root	_	_
11	das	die	A	ART	Def|Neut|_|Sg	12	det	61	61
12	Wasser	Wasser	N	NN	Neut|_|Sg	0	root	61	61
13	,	,	$	$,	_	0	root	61	61
14	das	die	P	PRELS	Neut|Nom|Sg	25	subj	61	61
15	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	62	62
16	gestern	gestern	A	ADV	_	20	adv	_	_
17	abend	abend	A	ADV	_	20	adv	_	_
18	für	für	P	APPR	Acc	20	pp	_	_
19	sie	sie	P	PPER	3|_|_|Acc	18	pn	61	61
20	hinaufgetragen	hinauftragen	V	VVPP	_	25	neb	_	_
21	,	,	$	$,	_	0	root	_	_
22	noch	noch	A	ADV	_	23	adv	_	_
23	nicht	nicht	P	PTKNEG	_	24	adv	_	_
24	verdunstet	verdunsten	V	VVPP	_	25	aux	_	_
25	sei	sein	V	VAFIN	3|Sg|Pres|Subj	12	rel	_	_
26	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	7	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	62	62
3	aber	aber	A	ADV	_	7	adv	_	_
4	auf	auf	P	APPR	Acc	7	objp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	63	63
6	Weideplatz	Weideplatz	N	NN	Masc|Acc|Sg	4	pn	63	63
7	kam	kommen	V	VVFIN	1|Sg|Past|Ind	9	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	sah	sehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	62	62
11	sogleich	sogleich	A	ADV	_	9	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	19	konj	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	19	subj	_	_
